Row.names,phrog,function,product
edge_2381_16,1794,lysis,amidase
edge_2381_17,740,DNA, RNA and nucleotide metabolism,HNH endonuclease
edge_2381_18,No_PHROG,unknown function,hypothetical protein
edge_2381_19,3,transcription regulation,transcriptional repressor
edge_2381_20,1358,moron, auxiliary metabolic gene and host takeover,FtsK/SpoIIIE-like protein
edge_2381_22,No_PHROG,unknown function,hypothetical protein
edge_2381_23,No_PHROG,unknown function,hypothetical protein
edge_2381_25,No_PHROG,unknown function,hypothetical protein
edge_2381_26,2324,DNA, RNA and nucleotide metabolism,Erf-like ssDNA annealing protein
edge_2381_28,No_PHROG,unknown function,hypothetical protein
edge_2381_29,723,DNA, RNA and nucleotide metabolism,ParB-like partition protein
edge_2381_3,238,tail,major tail protein
edge_2381_31,2450,unknown function,hypothetical protein
edge_2381_32,No_PHROG,unknown function,hypothetical protein
edge_2381_36,No_PHROG,unknown function,hypothetical protein
edge_2381_37,No_PHROG,unknown function,hypothetical protein
edge_2381_38,No_PHROG,unknown function,hypothetical protein
edge_2381_40,140,DNA, RNA and nucleotide metabolism,RusA-like Holliday junction resolvase
edge_2381_41,No_PHROG,unknown function,hypothetical protein
edge_2381_9,5413,tail,minor tail protein
edge_2454_12,No_PHROG,unknown function,hypothetical protein
edge_2454_9,1820,unknown function,hypothetical protein
edge_2455_1,1825,other,DNA methyltransferase
edge_2461_2,58,tail,tail length tape measure protein
edge_2461_22,12,head and packaging,portal protein
edge_2461_24,9,head and packaging,terminase large subunit
edge_2484_14,1820,unknown function,hypothetical protein
edge_2484_38,1421,head and packaging,virion structural protein
edge_2484_39,No_PHROG,unknown function,hypothetical protein
edge_2484_43,2370,connector,neck passage structure
edge_2486_36,1484,head and packaging,virion structural protein
edge_2486_4,1820,unknown function,hypothetical protein
edge_2486_41,80,head and packaging,head maturation protease
edge_2486_43,12,head and packaging,portal protein
edge_2486_44,119,DNA, RNA and nucleotide metabolism,HNH endonuclease
edge_263_1,No_PHROG,unknown function,hypothetical protein
edge_263_25,No_PHROG,unknown function,hypothetical protein
edge_263_27,36,transcription regulation,transcriptional regulator
edge_263_32,No_PHROG,unknown function,hypothetical protein
edge_263_33,No_PHROG,unknown function,hypothetical protein
edge_263_34,No_PHROG,unknown function,hypothetical protein
edge_2636_1,3717,head and packaging,terminase large subunit
edge_2654_2,31,tail,central tail fiber J
edge_2654_3,6745,lysis,endolysin
edge_2654_4,291,lysis,endolysin
edge_2654_5,6700,lysis,endolysin
edge_2658_1,20388,lysis,endolysin
edge_2658_2,No_PHROG,unknown function,hypothetical protein
edge_2658_3,2006,head and packaging,major head protein
edge_2658_4,16615,other,peptidase
edge_2658_5,2038,connector,upper collar connector
edge_2658_6,3225,connector,adaptor Ad4
edge_2658_7,No_PHROG,unknown function,hypothetical protein
edge_284_1,51,head and packaging,terminase small subunit
edge_284_10,615,connector,head-tail adaptor
edge_284_11,957,head and packaging,head protein
edge_284_12,117,tail,major tail protein
edge_284_13,32165,tail,minor tail protein
edge_284_14,25901,unknown function,hypothetical protein
edge_284_16,5377,unknown function,hypothetical protein
edge_284_17,6305,tail,tail protein
edge_284_18,10156,unknown function,hypothetical protein
edge_284_4,No_PHROG,unknown function,hypothetical protein
edge_284_6,5824,unknown function,hypothetical protein
edge_284_7,909,head and packaging,major head protein
edge_284_8,29,head and packaging,major head protein
edge_294_12,59,DNA, RNA and nucleotide metabolism,HNH endonuclease
edge_294_13,2557,head and packaging,virion structural protein
edge_294_16,38431,unknown function,hypothetical protein
edge_294_19,66,integration and excision,excisionase and transcriptional regulator
edge_294_37,No_PHROG,unknown function,hypothetical protein
edge_294_38,44,DNA, RNA and nucleotide metabolism,single strand DNA binding protein
edge_294_39,No_PHROG,unknown function,hypothetical protein
edge_295_56,No_PHROG,unknown function,hypothetical protein
edge_295_57,No_PHROG,unknown function,hypothetical protein
edge_295_58,30532,tail,tail protein
edge_300_2,No_PHROG,unknown function,hypothetical protein
edge_303_10,No_PHROG,unknown function,hypothetical protein
edge_303_3,No_PHROG,unknown function,hypothetical protein
edge_303_4,No_PHROG,unknown function,hypothetical protein
edge_303_7,No_PHROG,unknown function,hypothetical protein
edge_305_3,30532,tail,tail protein
edge_306_3,30532,tail,tail protein
edge_311_1,184,tail,baseplate hub
edge_311_10,No_PHROG,unknown function,hypothetical protein
edge_311_11,No_PHROG,unknown function,hypothetical protein
edge_311_12,16343,connector,head-tail adaptor
edge_311_13,267,head and packaging,major head protein
edge_311_14,9953,head and packaging,major head protein
edge_311_15,No_PHROG,unknown function,hypothetical protein
edge_311_16,No_PHROG,unknown function,hypothetical protein
edge_311_17,No_PHROG,unknown function,hypothetical protein
edge_311_18,No_PHROG,unknown function,hypothetical protein
edge_311_19,No_PHROG,unknown function,hypothetical protein
edge_311_20,No_PHROG,unknown function,hypothetical protein
edge_311_8,No_PHROG,unknown function,hypothetical protein
edge_311_9,No_PHROG,unknown function,hypothetical protein
edge_3278_3,No_PHROG,unknown function,hypothetical protein
edge_3278_4,26419,tail,tail fiber protein
edge_329_13,33,tail,distal tail protein Dit
edge_329_15,No_PHROG,unknown function,hypothetical protein
edge_329_16,1526,unknown function,hypothetical protein
edge_329_18,123,connector,tail terminator
edge_329_19,387,connector,neck protein
edge_329_2,833,lysis,endolysin
edge_329_20,501,connector,head closure Hc1
edge_329_21,137,connector,head-tail adaptor Ad1
edge_329_22,10,head and packaging,major head protein
edge_329_23,233,head and packaging,head scaffolding protein
edge_329_25,581,head and packaging,minor head protein
edge_329_27,No_PHROG,unknown function,hypothetical protein
edge_329_6,1009,unknown function,hypothetical protein
edge_329_7,5056,unknown function,hypothetical protein
edge_329_8,No_PHROG,unknown function,hypothetical protein
edge_330_23,2514,DNA, RNA and nucleotide metabolism,DnaD-like helicase loader
edge_330_30,No_PHROG,unknown function,hypothetical protein
edge_330_44,No_PHROG,unknown function,hypothetical protein
edge_330_45,No_PHROG,unknown function,hypothetical protein
edge_3513_16,No_PHROG,unknown function,hypothetical protein
edge_3739_10,16126,unknown function,hypothetical protein
edge_3739_11,No_PHROG,unknown function,hypothetical protein
edge_3739_12,No_PHROG,unknown function,hypothetical protein
edge_3739_14,No_PHROG,unknown function,hypothetical protein
edge_3739_19,3886,unknown function,hypothetical protein
edge_3739_20,1383,head and packaging,virion structural protein
edge_3739_21,4292,unknown function,hypothetical protein
edge_3739_22,18984,unknown function,hypothetical protein
edge_3739_24,No_PHROG,unknown function,hypothetical protein
edge_3739_25,62,DNA, RNA and nucleotide metabolism,DNA helicase
edge_3739_4,5319,other,outer membrane protein
edge_3739_5,No_PHROG,unknown function,hypothetical protein
edge_3739_6,34912,unknown function,hypothetical protein
edge_3739_7,30761,unknown function,hypothetical protein
edge_3739_8,No_PHROG,unknown function,hypothetical protein
edge_3739_9,No_PHROG,unknown function,hypothetical protein
edge_4_1,10300,transcription regulation,transcriptional regulator
edge_4_10,11501,unknown function,hypothetical protein
edge_4_11,13246,DNA, RNA and nucleotide metabolism,replisome organizer
edge_4_12,50,DNA, RNA and nucleotide metabolism,DnaC-like helicase loader
edge_4_13,13941,unknown function,hypothetical protein
edge_4_15,1033,DNA, RNA and nucleotide metabolism,ParB-like partition protein
edge_4_16,19994,unknown function,hypothetical protein
edge_4_17,24381,unknown function,hypothetical protein
edge_4_25,18290,unknown function,hypothetical protein
edge_4_27,2,head and packaging,terminase large subunit
edge_4_28,64,head and packaging,portal protein
edge_4_29,No_PHROG,unknown function,hypothetical protein
edge_4_30,16625,moron, auxiliary metabolic gene and host takeover,Bxa ADP-ribosyl transferase
edge_4_31,No_PHROG,unknown function,hypothetical protein
edge_4_32,6572,other,ADP-ribosylglycohydrolase
edge_4_36,116,other,DNA methyltransferase
edge_4_37,No_PHROG,unknown function,hypothetical protein
edge_4_38,23250,unknown function,hypothetical protein
edge_4_39,23198,unknown function,hypothetical protein
edge_4_40,20236,unknown function,hypothetical protein
edge_4_41,15742,unknown function,hypothetical protein
edge_4_42,No_PHROG,unknown function,hypothetical protein
edge_4_43,24140,unknown function,hypothetical protein
edge_4_44,No_PHROG,unknown function,hypothetical protein
edge_4_45,5824,unknown function,hypothetical protein
edge_4_46,909,head and packaging,major head protein
edge_4_47,29,head and packaging,major head protein
edge_4_48,390,transcription regulation,Arc-like repressor
edge_4_49,16646,unknown function,hypothetical protein
edge_4_5,148,DNA, RNA and nucleotide metabolism,RecT-like ssDNA annealing protein
edge_4_50,615,connector,head-tail adaptor
edge_4_51,5,connector,tail completion or Neck1 protein
edge_4_52,176,connector,tail terminator
edge_4_53,117,tail,major tail protein
edge_4_54,15994,unknown function,hypothetical protein
edge_4_55,No_PHROG,unknown function,hypothetical protein
edge_4_56,9959,tail,tail length tape measure protein
edge_4_57,9959,tail,tail length tape measure protein
edge_4_58,10156,unknown function,hypothetical protein
edge_4_59,5577,tail,minor tail protein
edge_4_6,392,other,metal-dependent hydrolase
edge_4_60,6468,tail,tail fiber protein; host specificity
edge_4_61,17180,unknown function,hypothetical protein
edge_4_62,22750,unknown function,hypothetical protein
edge_4_63,5302,tail,tail protein
edge_4_64,1423,DNA, RNA and nucleotide metabolism,Reverse transcriptase
edge_4_65,11557,unknown function,hypothetical protein
edge_4_66,6015,DNA, RNA and nucleotide metabolism,single strand DNA binding protein
edge_4_67,19698,unknown function,hypothetical protein
edge_4_68,No_PHROG,unknown function,hypothetical protein
edge_4_69,435,lysis,endolysin
edge_4_7,72,DNA, RNA and nucleotide metabolism,NinB/ Orf homologous recombination mediator
edge_4_70,No_PHROG,unknown function,hypothetical protein
edge_4_71,1,integration and excision,integrase
edge_48662_19,No_PHROG,unknown function,hypothetical protein
edge_48666_1,2,head and packaging,terminase large subunit
edge_48666_2,115,head and packaging,minor head protein
edge_48666_3,No_PHROG,unknown function,hypothetical protein
edge_48732_25,199,lysis,holin
edge_48732_27,9851,tail,tail fiber protein
edge_48732_28,No_PHROG,unknown function,hypothetical protein
edge_48732_29,No_PHROG,unknown function,hypothetical protein
edge_48755_8,No_PHROG,unknown function,hypothetical protein
edge_48806_1,5110,head and packaging,terminase small subunit
edge_48806_10,88,tail,major tail protein
edge_48806_11,2115,tail,tail protein
edge_48806_2,9,head and packaging,terminase large subunit
edge_48806_3,12,head and packaging,portal protein
edge_48806_4,94,head and packaging,head maturation protease
edge_48806_6,749,unknown function,hypothetical protein
edge_48806_7,25,connector,head closure Hc1
edge_48806_8,78,connector,tail terminator
edge_48908_9,No_PHROG,unknown function,hypothetical protein
edge_49045_3,643,transcription regulation,transcriptional regulator
edge_61_11,379,DNA, RNA and nucleotide metabolism,DNA binding protein
edge_61_13,No_PHROG,unknown function,hypothetical protein
edge_61_15,No_PHROG,unknown function,hypothetical protein
edge_61_16,20838,head and packaging,head fiber protein
edge_61_17,10822,DNA, RNA and nucleotide metabolism,HNH endonuclease
edge_61_19,3314,unknown function,hypothetical protein
edge_61_20,No_PHROG,unknown function,hypothetical protein
edge_61_23,No_PHROG,unknown function,hypothetical protein
edge_61_25,12284,head and packaging,virion structural protein
edge_61_26,12438,head and packaging,virion structural protein
edge_61_27,21297,unknown function,hypothetical protein
edge_61_28,13983,unknown function,hypothetical protein
edge_61_29,No_PHROG,unknown function,hypothetical protein
edge_61_32,4051,unknown function,hypothetical protein
edge_61_34,20838,head and packaging,head fiber protein
edge_61_35,No_PHROG,unknown function,hypothetical protein
edge_61_36,1682,DNA, RNA and nucleotide metabolism,RusA-like Holliday junction resolvase
edge_61_37,No_PHROG,unknown function,hypothetical protein
edge_61_38,No_PHROG,unknown function,hypothetical protein
edge_61_39,5,connector,tail completion or Neck1 protein
edge_61_4,No_PHROG,unknown function,hypothetical protein
edge_61_40,No_PHROG,unknown function,hypothetical protein
edge_61_48,No_PHROG,unknown function,hypothetical protein
edge_61_6,379,DNA, RNA and nucleotide metabolism,DNA binding protein
edge_61_9,No_PHROG,unknown function,hypothetical protein
edge_72_1,6468,tail,tail fiber protein; host specificity
edge_72_10,132,connector,head-tail adaptor
edge_72_12,544,head and packaging,major head protein
edge_72_13,172,head and packaging,head scaffolding protein
edge_72_14,4478,other,peptidase
edge_72_15,13742,other,peptidase
edge_72_17,115,head and packaging,minor head protein
edge_72_2,202,tail,distal tail protein Dit
edge_72_23,36,transcription regulation,transcriptional regulator
edge_72_4,441,tail,tail assembly chaperone
edge_72_8,5,connector,tail completion or Neck1 protein
edge_72_9,348,head and packaging,minor head protein
edge_75_27,No_PHROG,unknown function,hypothetical protein
edge_75_28,355,DNA, RNA and nucleotide metabolism,nucleoside 2-deoxyribosyltransferase
edge_957_36,No_PHROG,unknown function,hypothetical protein
edge_959_21,No_PHROG,unknown function,hypothetical protein
edge_959_24,No_PHROG,unknown function,hypothetical protein
edge_959_46,11589,head and packaging,major head protein
edge_959_48,No_PHROG,unknown function,hypothetical protein
edge_959_51,No_PHROG,unknown function,hypothetical protein
edge_959_52,6681,head and packaging,terminase large subunit
edge_959_53,No_PHROG,unknown function,hypothetical protein
edge_959_59,No_PHROG,unknown function,hypothetical protein
edge_959_6,16227,head and packaging,virion structural protein
edge_959_7,No_PHROG,unknown function,hypothetical protein
edge_959_95,No_PHROG,unknown function,hypothetical protein
edge_965_7,No_PHROG,unknown function,hypothetical protein
virus_comp_10080_cycle_1_1,2006,head and packaging,major head protein
virus_comp_1019_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_1019_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_1019_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_103_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_103_cycle_1_3,5302,tail,tail protein
virus_comp_10304_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_1035_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_104_cycle_1_1,5302,tail,tail protein
virus_comp_104_cycle_1_3,376,tail,tail protein
virus_comp_1044_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_1044_cycle_1_2,1907,DNA, RNA and nucleotide metabolism,DNA polymerase
virus_comp_1044_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_1044_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_1044_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_1044_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_1045_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_1045_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_1045_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_1045_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_1045_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_10500_cycle_1_3,1770,DNA, RNA and nucleotide metabolism,Holliday junction resolvase
virus_comp_10599_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_10613_cycle_1_1,1379,unknown function,hypothetical protein
virus_comp_1068_cycle_1_2,16615,other,peptidase
virus_comp_1069_cycle_1_1,1907,DNA, RNA and nucleotide metabolism,DNA polymerase
virus_comp_1069_cycle_1_2,2150,head and packaging,terminase
virus_comp_1069_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_10749_cycle_1_2,18293,other,methyltransferase
virus_comp_10841_cycle_1_2,15610,other,protease
virus_comp_1086_cycle_1_10,3180,transcription regulation,Arc-like repressor
virus_comp_1093_cycle_1_22,No_PHROG,unknown function,hypothetical protein
virus_comp_1093_cycle_1_24,No_PHROG,unknown function,hypothetical protein
virus_comp_11_cycle_1_1,4372,tail,tail length tape measure protein
virus_comp_11_cycle_1_10,No_PHROG,unknown function,hypothetical protein
virus_comp_11_cycle_1_11,3270,head and packaging,head maturation protease
virus_comp_11_cycle_1_2,5,connector,tail completion or Neck1 protein
virus_comp_11_cycle_1_4,4338,unknown function,hypothetical protein
virus_comp_11_cycle_1_6,31690,unknown function,hypothetical protein
virus_comp_11_cycle_1_8,78,connector,tail terminator
virus_comp_11007_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_2,6370,DNA, RNA and nucleotide metabolism,dsDNA binding protein
virus_comp_1102_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_1102_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_10,2006,head and packaging,major head protein
virus_comp_1103_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_1103_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_1105_cycle_1_1,8780,tail,minor tail protein
virus_comp_1105_cycle_1_2,1067,head and packaging,minor head protein
virus_comp_1131_cycle_2_1,No_PHROG,unknown function,hypothetical protein
virus_comp_1131_cycle_2_28,No_PHROG,unknown function,hypothetical protein
virus_comp_1131_cycle_2_29,9589,lysis,endolysin
virus_comp_1133_cycle_1_10,No_PHROG,unknown function,hypothetical protein
virus_comp_1133_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_1133_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_1135_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_1135_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_1142_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_1144_cycle_1_2,14,tail,minor tail protein
virus_comp_11535_cycle_1_1,1421,head and packaging,virion structural protein
virus_comp_1171_cycle_1_7,2550,unknown function,hypothetical protein
virus_comp_1173_cycle_1_14,1440,head and packaging,virion structural protein
virus_comp_1173_cycle_1_5,119,DNA, RNA and nucleotide metabolism,HNH endonuclease
virus_comp_1173_cycle_1_6,12,head and packaging,portal protein
virus_comp_11746_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_11746_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_12_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_12_cycle_1_2,2645,tail,major tail protein
virus_comp_12_cycle_1_3,78,connector,tail terminator
virus_comp_12_cycle_1_9,12,head and packaging,portal protein
virus_comp_12035_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_12035_cycle_1_2,36964,head and packaging,terminase large subunit
virus_comp_12390_cycle_1_2,9,head and packaging,terminase large subunit
virus_comp_12579_cycle_1_1,1373,transcription regulation,transcriptional regulator
virus_comp_12586_cycle_1_2,12,head and packaging,portal protein
virus_comp_126_cycle_1_138,No_PHROG,unknown function,hypothetical protein
virus_comp_126_cycle_1_195,No_PHROG,unknown function,hypothetical protein
virus_comp_126_cycle_1_207,No_PHROG,unknown function,hypothetical protein
virus_comp_126_cycle_1_209,No_PHROG,unknown function,hypothetical protein
virus_comp_126_cycle_1_210,No_PHROG,unknown function,hypothetical protein
virus_comp_126_cycle_1_217,No_PHROG,unknown function,hypothetical protein
virus_comp_1260_cycle_2_10,No_PHROG,unknown function,hypothetical protein
