transeq_contig	profile_id	profile_name	e-value	i-value
sample-1_18_96565_1	portal	portal	0.0	0.0
sample-1_9_104613_4	portal	portal	1.7e-302	2.8e-302
sample-1_309_18290_4	portal	portal	1.1e-294	2.3e-294
sample-1_352_16508_3	portal	portal	2.5e-281	3.8e-281
sample-1_3157_2206_1	portal	portal	4.8e-278	5.4e-278
sample-1_19_96211_5	portal	portal	2.9e-250	2.9e-250
sample-1_15_98423_4	portal	portal	2.7e-246	6.3e-246
sample-1_516_11797_4	portal	portal	1.2e-243	2.1e-243
sample-1_17_96846_2	portal	portal	9.5e-241	2.2e-240
sample-1_241_22966_5	portal	portal	1.2e-240	2.3e-240
sample-1_2_180874_4	portal	portal	8e-205	8e-205
sample-1_30_80291_6	portal	portal	1.9e-197	3.2e-197
sample-1_23_92914_1	portal	portal	3.5e-196	6.3e-196
sample-1_6_155389_6	portal	portal	1.5e-193	3.3e-193
sample-1_1093_6313_6	portal	portal	4e-179	4.8e-178
sample-1_10_102032_4	portal	portal	3.3e-167	1.1e-166
sample-1_4226_1355_4	portal	portal	7.4e-166	8.3e-166
sample-1_21_95604_6	portal	portal	4.3e-165	4.3e-165
sample-1_4411_1265_6	portal	portal	1.2e-159	1.5e-159
sample-1_3125_2250_5	portal	portal	4.5e-158	5e-158
sample-1_21_95604_4	portal	portal	4.5e-144	4.5e-144
sample-1_24_92306_1	portal	portal	4.8e-129	6.4e-129
sample-1_4_157545_1	portal	portal	2.8e-112	5.6e-112
sample-1_7_152939_1	portal	portal	3.2e-112	5.4e-112
sample-1_4954_1063_6	portal	portal	9e-108	1.2e-107
sample-1_3_171347_3	portal	portal	1.5e-101	1.5e-101
sample-1_2468_3000_6	portal	portal	2e-87	2.5e-87
sample-1_10_102032_6	portal	portal	1.6e-86	1.6e-86
sample-1_2557_2904_4	portal	portal	1.4e-83	1.7e-83
sample-1_5_155540_3	portal	portal	9.5e-77	9.5e-77
sample-1_7_152939_2	portal	portal	1.6e-69	3.5e-69
sample-1_4_157545_2	portal	portal	2.1e-69	3.6e-69
sample-1_4409_1266_1	portal	portal	4.1e-63	4.9e-63
sample-1_5_155540_2	portal	portal	1.2e-55	2.9e-27
sample-1_3684_1680_2	portal	portal	4.3e-55	6.2e-55
sample-1_4798_1110_6	portal	portal	2.2e-50	2.8e-50
sample-1_24_92306_2	portal	portal	7.7e-37	1.1e-36
sample-1_1_194036_1	portal	portal	6.8e-35	2.8e-13
sample-1_5_155540_1	portal	portal	2.3e-27	3.7e-27
sample-1_30_80291_5	portal	portal	1.7e-26	1.7e-26
sample-1_10_102032_5	portal	portal	1.5e-12	6.7e-08
sample-1_2895_2535_4	portal	portal	5.5e-07	6.9e-07
sample-1_1_194036_2	TerL	TerL	0.0	3.5e-202
sample-1_12_101623_3	TerL	TerL	2.5e-293	4.4e-293
sample-1_273_20403_6	TerL	TerL	9.9e-293	1.8e-292
sample-1_21_95604_4	TerL	TerL	6.3e-290	1.4e-289
sample-1_22_93708_1	TerL	TerL	6.7e-290	1.3e-289
sample-1_20_95736_1	TerL	TerL	6.8e-290	1.4e-289
sample-1_16_98401_2	TerL	TerL	7.2e-290	1.4e-289
sample-1_2557_2904_6	TerL	TerL	3.8e-282	5.1e-282
sample-1_309_18290_5	TerL	TerL	3.7e-281	7.2e-281
sample-1_2468_3000_5	TerL	TerL	1.5e-280	2e-280
sample-1_18_96565_2	TerL	TerL	8.3e-280	1.4e-279
sample-1_9_104613_6	TerL	TerL	3.5e-278	6.4e-278
sample-1_11_101626_6	TerL	TerL	6.6e-277	1.1e-276
sample-1_352_16508_3	TerL	TerL	1.4e-271	3e-271
sample-1_13_99291_5	TerL	TerL	2.8e-268	5.4e-268
sample-1_17_96846_1	TerL	TerL	2.7e-254	5.7e-254
sample-1_241_22966_6	TerL	TerL	1.2e-247	1.9e-247
sample-1_1093_6313_5	TerL	TerL	1e-237	1.4e-237
sample-1_2_180874_6	TerL	TerL	2.8e-237	4.6e-237
sample-1_516_11797_6	TerL	TerL	6e-219	1.2e-218
sample-1_3_171347_3	TerL	TerL	1.4e-216	2.3e-216
sample-1_15_98423_4	TerL	TerL	3.8e-212	6.8e-212
sample-1_3635_1721_4	TerL	TerL	4.6e-194	5.6e-194
sample-1_3406_1938_5	TerL	TerL	9.9e-181	1.1e-180
sample-1_23_92914_3	TerL	TerL	9.5e-179	6.9e-178
sample-1_30_80291_4	TerL	TerL	5.7e-172	1e-171
sample-1_10_102032_5	TerL	TerL	3.7e-170	7.2e-170
sample-1_19_96211_5	TerL	TerL	5.4e-149	1.1e-148
sample-1_6_155389_5	TerL	TerL	1.1e-135	1.7e-135
sample-1_24_92306_3	TerL	TerL	4.9e-131	7.4e-131
sample-1_4981_1057_5	TerL	TerL	4.5e-120	5e-120
sample-1_2370_3154_5	TerL	TerL	5.9e-116	8.2e-116
sample-1_4390_1275_6	TerL	TerL	1.5e-103	1.8e-103
sample-1_3684_1680_2	TerL	TerL	3.6e-96	3.6e-96
sample-1_19_96211_6	TerL	TerL	8.1e-92	1.5e-91
sample-1_7_152939_2	TerL	TerL	8e-89	1.7e-88
sample-1_4_157545_2	TerL	TerL	8.6e-89	1.8e-88
sample-1_5_155540_1	TerL	TerL	2.4e-74	5.1e-21
sample-1_30_80291_5	TerL	TerL	7.7e-67	1.3e-66
sample-1_7_152939_1	TerL	TerL	1.6e-31	6e-31
sample-1_4_157545_1	TerL	TerL	1.6e-31	6.2e-31
sample-1_3983_1483_3	TerL	TerL	2.2e-08	3.2e-08
sample-1_3596_1751_6	TerL	TerL	2.2e-06	3e-06
sample-1_1_194036_3	VP00410	portal	0.0	4.3e-39
sample-1_11_101626_6	VP00410	portal	3e-261	5.4e-261
sample-1_22_93708_1	VP00410	portal	2.7e-258	5.1e-258
sample-1_20_95736_1	VP00410	portal	2.8e-258	5.2e-258
sample-1_16_98401_2	VP00410	portal	3.2e-258	5.6e-258
sample-1_12_101623_2	VP00410	portal	2.4e-254	2.4e-254
sample-1_13_99291_6	VP00410	portal	3.9e-252	6.1e-252
sample-1_18_96565_1	VP00410	portal	8.5e-252	8.5e-252
sample-1_9_104613_4	VP00410	portal	8.2e-251	1.2e-250
sample-1_273_20403_4	VP00410	portal	3.1e-250	3.1e-250
sample-1_309_18290_4	VP00410	portal	9.8e-247	9.8e-247
sample-1_3157_2206_1	VP00410	portal	2.3e-236	2.6e-236
sample-1_516_11797_4	VP00410	portal	3.8e-231	7.1e-231
sample-1_15_98423_4	VP00410	portal	2.1e-228	2.1e-228
sample-1_19_96211_5	VP00410	portal	4.4e-217	7.6e-217
sample-1_352_16508_3	VP00410	portal	4.2e-214	6.4e-214
sample-1_241_22966_5	VP00410	portal	2.8e-213	4.4e-213
sample-1_23_92914_1	VP00410	portal	9e-204	1.7e-203
sample-1_17_96846_2	VP00410	portal	1.3e-191	2.7e-191
sample-1_30_80291_6	VP00410	portal	4.7e-178	6.8e-178
sample-1_4226_1355_4	VP00410	portal	7.3e-153	8.2e-153
sample-1_4411_1265_6	VP00410	portal	6.6e-150	8e-150
sample-1_10_102032_4	VP00410	portal	9.3e-141	9.3e-141
sample-1_21_95604_6	VP00410	portal	1.7e-129	3.7e-129
sample-1_21_95604_4	VP00410	portal	3.4e-119	3.4e-119
sample-1_4954_1063_6	VP00410	portal	4.2e-93	5e-93
sample-1_6_155389_6	VP00410	portal	2.1e-90	2.1e-90
sample-1_2468_3000_6	VP00410	portal	4.4e-77	5.1e-77
sample-1_2_180874_4	VP00410	portal	1.5e-76	1.5e-76
sample-1_10_102032_6	VP00410	portal	1.4e-75	1.4e-75
sample-1_2557_2904_4	VP00410	portal	2.7e-73	3.2e-73
sample-1_3125_2250_5	VP00410	portal	9.6e-71	8.8e-69
sample-1_1093_6313_6	VP00410	portal	3.7e-67	5.1e-28
sample-1_4409_1266_1	VP00410	portal	1.4e-53	1.6e-53
sample-1_3684_1680_2	VP00410	portal	3.4e-52	5.2e-52
sample-1_4798_1110_6	VP00410	portal	1.5e-49	1.9e-49
sample-1_24_92306_1	VP00410	portal	1.6e-49	2.6e-49
sample-1_7_152939_1	VP00410	portal	4e-44	1.3e-43
sample-1_4_157545_1	VP00410	portal	1.3e-43	1.3e-43
sample-1_4_157545_2	VP00410	portal	4.6e-34	7.3e-34
sample-1_7_152939_2	VP00410	portal	7.1e-34	7.1e-34
sample-1_1_194036_1	VP00410	portal	1.4e-29	4.7e-10
sample-1_5_155540_2	VP00410	portal	1.1e-26	1.5e-11
sample-1_30_80291_5	VP00410	portal	2e-24	2e-24
sample-1_5_155540_3	VP00410	portal	3.9e-24	3.9e-24
sample-1_24_92306_2	VP00410	portal	4.8e-14	7.5e-14
sample-1_5_155540_1	VP00410	portal	3.5e-10	6e-10
sample-1_41_65330_6	VP00410	portal	1.4e-09	2.3e-09
sample-1_10_102032_5	VP00410	portal	3.1e-05	3.1e-05
sample-1_1_194036_2	VP00412	TerL	0.0	4.6e-182
sample-1_273_20403_6	VP00412	TerL	2.1e-243	3.3e-243
sample-1_21_95604_4	VP00412	TerL	5.1e-242	9.2e-242
sample-1_22_93708_1	VP00412	TerL	5.5e-242	9e-242
sample-1_20_95736_1	VP00412	TerL	5.7e-242	9.2e-242
sample-1_16_98401_2	VP00412	TerL	5.9e-242	9.5e-242
sample-1_12_101623_3	VP00412	TerL	1.2e-241	3.3e-241
sample-1_2468_3000_5	VP00412	TerL	3.9e-232	5.4e-232
sample-1_2557_2904_6	VP00412	TerL	4.7e-232	6.5e-232
sample-1_11_101626_6	VP00412	TerL	7.4e-232	1.2e-231
sample-1_309_18290_5	VP00412	TerL	4.8e-230	3.2e-40
sample-1_9_104613_6	VP00412	TerL	8.4e-230	1.4e-229
sample-1_18_96565_2	VP00412	TerL	1.1e-229	1.7e-229
sample-1_13_99291_5	VP00412	TerL	3.1e-226	3.1e-161
sample-1_241_22966_6	VP00412	TerL	1.3e-225	1.9e-225
sample-1_352_16508_3	VP00412	TerL	6.5e-219	1.2e-218
sample-1_17_96846_1	VP00412	TerL	8.2e-218	1.5e-217
sample-1_516_11797_6	VP00412	TerL	1.5e-186	2.8e-186
sample-1_3635_1721_4	VP00412	TerL	1.1e-172	1.4e-172
sample-1_15_98423_4	VP00412	TerL	2.7e-163	4.8e-163
sample-1_3406_1938_5	VP00412	TerL	1.2e-159	1.5e-159
sample-1_30_80291_4	VP00412	TerL	1e-157	1.7e-157
sample-1_23_92914_3	VP00412	TerL	1.3e-152	4.5e-60
sample-1_10_102032_5	VP00412	TerL	6.5e-143	1.3e-142
sample-1_19_96211_5	VP00412	TerL	2.8e-136	4.8e-136
sample-1_1093_6313_5	VP00412	TerL	2.7e-119	4.1e-119
sample-1_2_180874_6	VP00412	TerL	4.8e-116	8e-116
sample-1_2370_3154_5	VP00412	TerL	2.4e-95	3.4e-95
sample-1_4390_1275_6	VP00412	TerL	8.6e-87	1.1e-86
sample-1_3684_1680_2	VP00412	TerL	2.2e-84	3.3e-84
sample-1_19_96211_6	VP00412	TerL	6.1e-78	9.7e-78
sample-1_6_155389_5	VP00412	TerL	6.9e-69	3.2e-11
sample-1_4981_1057_5	VP00412	TerL	8.8e-63	1.1e-62
sample-1_30_80291_5	VP00412	TerL	1.6e-60	2.7e-60
sample-1_24_92306_3	VP00412	TerL	9.2e-59	1.3e-09
sample-1_7_152939_2	VP00412	TerL	1.5e-46	3e-46
sample-1_4_157545_2	VP00412	TerL	1.6e-46	3.1e-46
sample-1_5_155540_1	VP00412	TerL	6.8e-34	4.6e-11
sample-1_3983_1483_3	VP00412	TerL	2.9e-11	3.9e-11
sample-1_2475_2996_2	VP00412	TerL	1.4e-05	4.5e-05
sample-1_2023_3705_5	VP02190	MCP	0.00059	0.00098
sample-1_13_99291_6	VP02204	MCP	9.9e-92	1.6e-91
sample-1_12_101623_2	VP02204	MCP	3.7e-88	3.7e-88
sample-1_18_96565_2	VP02204	MCP	5.6e-88	8.8e-88
sample-1_9_104613_6	VP02204	MCP	6.2e-88	1e-87
sample-1_10_102032_4	VP02204	MCP	6.8e-88	1.1e-87
sample-1_16_98401_2	VP02204	MCP	2.1e-87	3.4e-87
sample-1_22_93708_1	VP02204	MCP	2.1e-87	3.3e-87
sample-1_20_95736_1	VP02204	MCP	2.2e-87	3.3e-87
sample-1_11_101626_4	VP02204	MCP	2.7e-87	4.1e-87
sample-1_309_18290_6	VP02204	MCP	2.1e-85	3.1e-85
sample-1_273_20403_6	VP02204	MCP	3e-79	5e-79
sample-1_2023_3705_5	VP02204	MCP	8.5e-76	1.1e-75
sample-1_21_95604_5	VP02204	MCP	1.3e-53	2.1e-53
sample-1_4061_1441_6	VP02204	MCP	1.6e-53	2.1e-53
sample-1_3643_1714_3	VP02204	MCP	4.5e-48	5.9e-48
sample-1_15_98423_5	VP02204	MCP	2.3e-41	3.3e-41
sample-1_347_16656_2	VP02204	MCP	5.8e-41	9e-41
sample-1_23_92914_2	VP02204	MCP	2.6e-40	5e-40
sample-1_352_16508_2	VP02204	MCP	1.8e-37	2.8e-37
sample-1_241_22966_5	VP02204	MCP	7.9e-36	1.3e-35
sample-1_30_80291_6	VP02204	MCP	2.4e-35	4e-35
sample-1_1_194036_3	VP02204	MCP	5.9e-35	9.9e-35
sample-1_5191_1012_2	VP02204	MCP	4.4e-34	5.3e-34
sample-1_17_96846_1	VP02204	MCP	3.1e-31	5e-31
sample-1_21_95604_4	VP02204	MCP	1.9e-26	3e-26
sample-1_1_194036_2	VP02204	MCP	6.5e-23	1.1e-22
sample-1_4677_1147_6	VP02204	MCP	1.4e-11	2.1e-11
sample-1_4_157545_3	VP02204	MCP	0.00032	0.00055
sample-1_6_155389_5	VP02204	MCP	0.00034	0.00054
sample-1_347_16656_2	VP02208	MCP	8.1e-251	1.1e-250
sample-1_15_98423_5	VP02208	MCP	2.3e-248	3.9e-248
sample-1_4061_1441_6	VP02208	MCP	3.6e-229	4e-229
sample-1_5191_1012_2	VP02208	MCP	2.3e-169	2.6e-169
sample-1_23_92914_2	VP02208	MCP	1.6e-139	2.7e-139
sample-1_13_99291_6	VP02208	MCP	3.4e-78	4.9e-78
sample-1_16_98401_2	VP02208	MCP	5.4e-75	9.3e-75
sample-1_22_93708_1	VP02208	MCP	6e-75	8.9e-75
sample-1_20_95736_1	VP02208	MCP	6e-75	9.1e-75
sample-1_309_18290_6	VP02208	MCP	6.3e-75	8.6e-75
sample-1_12_101623_2	VP02208	MCP	1e-74	1.7e-74
sample-1_11_101626_4	VP02208	MCP	7.5e-74	1.1e-73
sample-1_2023_3705_5	VP02208	MCP	8.8e-73	1.2e-72
sample-1_9_104613_6	VP02208	MCP	3.1e-71	5.4e-71
sample-1_10_102032_4	VP02208	MCP	3.2e-71	5.4e-71
sample-1_18_96565_2	VP02208	MCP	5.1e-71	7.9e-71
sample-1_273_20403_6	VP02208	MCP	9.7e-62	1.7e-61
sample-1_21_95604_5	VP02208	MCP	6.3e-55	9.9e-55
sample-1_23_92914_3	VP02208	MCP	3.2e-38	5e-38
sample-1_3643_1714_3	VP02208	MCP	5.2e-35	8.1e-35
sample-1_23_92914_1	VP02208	MCP	7.4e-35	1.1e-34
sample-1_2809_2618_1	VP02208	MCP	1e-24	1.5e-24
sample-1_21_95604_4	VP02208	MCP	2.7e-14	4.4e-14
sample-1_4677_1147_6	VP02208	MCP	9.8e-13	1.3e-12
sample-1_347_16656_2	VP02209	MCP	2.2e-116	3.2e-116
sample-1_15_98423_5	VP02209	MCP	1.1e-111	1.5e-111
sample-1_4061_1441_6	VP02209	MCP	4.5e-106	5e-106
sample-1_5191_1012_2	VP02209	MCP	3.2e-80	3.7e-80
sample-1_23_92914_2	VP02209	MCP	5.3e-71	1.1e-70
sample-1_13_99291_6	VP02209	MCP	4.8e-68	7.4e-68
sample-1_11_101626_4	VP02209	MCP	2e-67	3e-67
sample-1_12_101623_2	VP02209	MCP	7.1e-66	1.1e-65
sample-1_22_93708_1	VP02209	MCP	8.1e-66	1.3e-65
sample-1_20_95736_1	VP02209	MCP	8.3e-66	1.3e-65
sample-1_16_98401_2	VP02209	MCP	9e-66	1.3e-65
sample-1_309_18290_6	VP02209	MCP	2.4e-65	3.5e-65
sample-1_18_96565_2	VP02209	MCP	3.4e-63	4.8e-63
sample-1_10_102032_4	VP02209	MCP	9e-63	1.4e-62
sample-1_9_104613_6	VP02209	MCP	9.2e-63	1.5e-62
sample-1_2023_3705_5	VP02209	MCP	1.8e-62	2.6e-62
sample-1_273_20403_6	VP02209	MCP	5.2e-54	7.7e-54
sample-1_21_95604_5	VP02209	MCP	4e-42	6.2e-42
sample-1_3643_1714_3	VP02209	MCP	2.1e-37	3.3e-37
sample-1_352_16508_2	VP02209	MCP	2.7e-24	4.1e-24
sample-1_21_95604_4	VP02209	MCP	6.6e-17	1e-16
sample-1_23_92914_3	VP02209	MCP	3.6e-16	5.2e-16
sample-1_23_92914_1	VP02209	MCP	1e-15	1.8e-15
sample-1_2809_2618_1	VP02209	MCP	1.4e-09	2.3e-09
sample-1_20_95736_1	VP02211	MCP	9.3e-253	1.4e-252
sample-1_22_93708_1	VP02211	MCP	9.4e-253	1.4e-252
sample-1_16_98401_2	VP02211	MCP	9.7e-253	1.4e-252
sample-1_13_99291_6	VP02211	MCP	1.7e-252	2.8e-252
sample-1_9_104613_6	VP02211	MCP	1.7e-251	2.7e-251
sample-1_10_102032_4	VP02211	MCP	2.6e-251	3.9e-251
sample-1_12_101623_2	VP02211	MCP	4.4e-251	6.7e-251
sample-1_18_96565_2	VP02211	MCP	5.2e-251	7.3e-251
sample-1_309_18290_6	VP02211	MCP	1e-248	1.5e-248
sample-1_11_101626_4	VP02211	MCP	1.1e-247	1.1e-247
sample-1_2023_3705_5	VP02211	MCP	3.1e-240	3.9e-240
sample-1_273_20403_6	VP02211	MCP	1.6e-205	1.9e-205
sample-1_21_95604_5	VP02211	MCP	2.8e-171	4.4e-171
sample-1_3643_1714_3	VP02211	MCP	9.7e-122	1.4e-121
sample-1_21_95604_4	VP02211	MCP	6.4e-71	1.1e-70
sample-1_4061_1441_6	VP02211	MCP	3.1e-58	4.2e-58
sample-1_347_16656_2	VP02211	MCP	4.3e-52	7e-52
sample-1_15_98423_5	VP02211	MCP	6.5e-52	9.4e-52
sample-1_352_16508_2	VP02211	MCP	8.6e-50	1.7e-49
sample-1_5191_1012_2	VP02211	MCP	1e-43	1.3e-43
sample-1_241_22966_5	VP02211	MCP	1.2e-43	2.1e-43
sample-1_30_80291_6	VP02211	MCP	6.6e-43	1.1e-42
sample-1_1_194036_3	VP02211	MCP	1.7e-42	2.8e-42
sample-1_17_96846_1	VP02211	MCP	1.5e-41	2.5e-41
sample-1_23_92914_2	VP02211	MCP	1.1e-35	1.8e-35
sample-1_273_20403_4	VP02211	MCP	7.1e-35	1.1e-34
sample-1_4677_1147_6	VP02211	MCP	4.1e-16	4.8e-16
sample-1_3423_1921_1	VP02211	MCP	2.5e-10	3.2e-10
sample-1_2087_3578_5	VP02211	MCP	8.1e-07	2.4e-06
sample-1_2496_2968_4	VP02211	MCP	1.8e-06	2.5e-06
sample-1_23_92914_1	VP02211	MCP	0.00012	0.00019
sample-1_12_101623_3	VP02579	TerL	0.0	0.0
sample-1_2557_2904_6	VP02579	TerL	0.0	0.0
sample-1_273_20403_6	VP02579	TerL	0.0	0.0
sample-1_18_96565_2	VP02579	TerL	0.0	0.0
sample-1_2468_3000_5	VP02579	TerL	0.0	0.0
sample-1_9_104613_6	VP02579	TerL	0.0	0.0
sample-1_21_95604_4	VP02579	TerL	0.0	0.0
sample-1_22_93708_1	VP02579	TerL	0.0	0.0
sample-1_20_95736_1	VP02579	TerL	0.0	0.0
sample-1_16_98401_2	VP02579	TerL	0.0	0.0
sample-1_11_101626_6	VP02579	TerL	0.0	0.0
sample-1_13_99291_5	VP02579	TerL	0.0	0.0
sample-1_309_18290_5	VP02579	TerL	0.0	1e-63
sample-1_3635_1721_4	VP02579	TerL	3.6e-255	4.1e-255
sample-1_3406_1938_5	VP02579	TerL	2.3e-236	2.9e-236
sample-1_10_102032_5	VP02579	TerL	2.1e-231	4.1e-231
sample-1_516_11797_6	VP02579	TerL	2e-135	3e-135
sample-1_23_92914_3	VP02579	TerL	1.2e-104	1.8e-34
sample-1_15_98423_4	VP02579	TerL	2.1e-102	3.6e-102
sample-1_2_180874_6	VP02579	TerL	1e-79	1e-79
sample-1_1093_6313_5	VP02579	TerL	7.5e-73	1.1e-72
sample-1_352_16508_3	VP02579	TerL	5.3e-61	1e-60
sample-1_2370_3154_5	VP02579	TerL	2.3e-60	3e-60
sample-1_3684_1680_2	VP02579	TerL	8.7e-58	1.3e-57
sample-1_241_22966_6	VP02579	TerL	5.9e-52	5.9e-52
sample-1_30_80291_4	VP02579	TerL	5.8e-49	1e-48
sample-1_4981_1057_5	VP02579	TerL	2.2e-41	2.6e-41
sample-1_10_102032_6	VP02579	TerL	1.5e-40	2.6e-40
sample-1_4390_1275_6	VP02579	TerL	2.4e-25	0.00025
sample-1_4954_1063_5	VP02579	TerL	1.6e-07	1.9e-07
sample-1_20_95736_1	VP02584	MCP	3.7e-291	5.3e-291
sample-1_22_93708_1	VP02584	MCP	3.7e-291	5.2e-291
sample-1_16_98401_2	VP02584	MCP	3.8e-291	5.5e-291
sample-1_10_102032_4	VP02584	MCP	1.4e-288	2.4e-288
sample-1_9_104613_6	VP02584	MCP	1.9e-288	3.2e-288
sample-1_12_101623_2	VP02584	MCP	2.9e-288	4.1e-288
sample-1_18_96565_2	VP02584	MCP	4e-288	6.2e-288
sample-1_13_99291_6	VP02584	MCP	1.9e-285	2.7e-285
sample-1_11_101626_4	VP02584	MCP	3.1e-283	3.1e-283
sample-1_309_18290_6	VP02584	MCP	6.1e-272	8.4e-272
sample-1_2023_3705_5	VP02584	MCP	1.1e-262	1.5e-262
sample-1_273_20403_6	VP02584	MCP	6.6e-220	2.2e-219
sample-1_21_95604_5	VP02584	MCP	5.3e-205	1e-204
sample-1_3643_1714_3	VP02584	MCP	1.5e-129	2e-129
sample-1_21_95604_4	VP02584	MCP	1.8e-75	3.3e-75
sample-1_273_20403_4	VP02584	MCP	2.9e-49	4.3e-49
sample-1_4061_1441_6	VP02584	MCP	8.9e-49	1.2e-48
sample-1_15_98423_5	VP02584	MCP	2.9e-39	4.6e-39
sample-1_347_16656_2	VP02584	MCP	1.9e-38	3.1e-38
sample-1_5191_1012_2	VP02584	MCP	4e-35	5.2e-35
sample-1_352_16508_2	VP02584	MCP	1.2e-30	2.5e-30
sample-1_23_92914_2	VP02584	MCP	5.4e-28	9e-28
sample-1_241_22966_5	VP02584	MCP	3.7e-27	6.1e-27
sample-1_4677_1147_6	VP02584	MCP	7.4e-11	9.3e-11
sample-1_3423_1921_1	VP02584	MCP	7.4e-10	9.3e-10
sample-1_2496_2968_4	VP02584	MCP	2.2e-07	3e-07
sample-1_2087_3578_5	VP02584	MCP	3.3e-07	5.7e-07
sample-1_18_96565_1	VP02585	portal	0.0	0.0
sample-1_11_101626_6	VP02585	portal	0.0	0.0
sample-1_9_104613_4	VP02585	portal	0.0	0.0
sample-1_16_98401_2	VP02585	portal	0.0	0.0
sample-1_22_93708_1	VP02585	portal	0.0	0.0
sample-1_20_95736_1	VP02585	portal	0.0	0.0
sample-1_12_101623_2	VP02585	portal	0.0	0.0
sample-1_13_99291_6	VP02585	portal	0.0	0.0
sample-1_273_20403_4	VP02585	portal	0.0	0.0
sample-1_309_18290_4	VP02585	portal	0.0	0.0
sample-1_3157_2206_1	VP02585	portal	0.0	0.0
sample-1_10_102032_4	VP02585	portal	2e-252	2e-252
sample-1_21_95604_6	VP02585	portal	4.3e-242	9.2e-242
sample-1_4226_1355_4	VP02585	portal	1.9e-231	2.1e-231
sample-1_4411_1265_6	VP02585	portal	6.7e-219	7.6e-219
sample-1_21_95604_4	VP02585	portal	1.8e-199	4.3e-199
sample-1_4954_1063_6	VP02585	portal	4.1e-156	4.6e-156
sample-1_2468_3000_6	VP02585	portal	2.1e-134	2.5e-134
sample-1_2557_2904_4	VP02585	portal	3.7e-125	5e-125
sample-1_10_102032_6	VP02585	portal	6.6e-123	6.6e-123
sample-1_516_11797_4	VP02585	portal	3.5e-110	6.9e-110
sample-1_15_98423_4	VP02585	portal	2.8e-109	5.4e-109
sample-1_23_92914_1	VP02585	portal	6.7e-95	1.2e-94
sample-1_1_194036_3	VP02585	portal	7.5e-52	1.9e-17
sample-1_241_22966_5	VP02585	portal	2.9e-49	4.8e-49
sample-1_352_16508_3	VP02585	portal	1.1e-47	1.7e-47
