genome	ref_shared_prot	most_similar_family	most_similar_subfamily	most_similar_genus
sample-1_352_16508	100.0	Intestiviridae	Crudevirinae	Endlipuvirus
sample-1_3596_1751	16.7	Intestiviridae	Crudevirinae	Carjivirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus
sample-1_3635_1721	100.0	Suoliviridae	Boorivirinae,Loutivirinae,Oafivirinae	Blohavirus,Bohxovirus,Buhlduvirus,Burzaovirus,Cacepaovirus,Chuhaivirus,Cohcovirus
sample-1_3643_1714	100.0	Suoliviridae	Loutivirinae,Uncouvirinae	Aurodevirus,Besingivirus,Buorbuivirus
sample-1_3684_1680	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus
sample-1_3983_1483	50.0	outgroup	outgroup	outgroup
sample-1_3_171347	88.2	Zeta	Zeta	Zeta_9
sample-1_4061_1441	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus
sample-1_41_65330	4.5	Suoliviridae	Uncouvirinae	Aurodevirus
sample-1_4226_1355	100.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Epsilon,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus
sample-1_4390_1275	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae,Zeta	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9
sample-1_4409_1266	50.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Epsilon,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus
sample-1_4411_1265	100.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Epsilon,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus
sample-1_4677_1147	100.0	Intestiviridae	Churivirinae,Crudevirinae,Obtuvirinae	Carjivirus,Dabirmavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Whopevirus,Wotdevirus
sample-1_4798_1110				
sample-1_4954_1063	50.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Epsilon,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus
sample-1_4981_1057	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae,Zeta	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9
sample-1_4_157545	80.6	Epsilon	Epsilon	Epsilon_2
sample-1_516_11797	84.2	Steigviridae	Asinivirinae	Kolpuevirus
sample-1_5191_1012	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae	,Asinivirinae,Bearivirinae,Boorivirinae,Churivirinae,Coarsevirinae,Crudevirinae,Doltivirinae,Loutivirinae,Oafivirinae,Obtuvirinae,Uncouvirinae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus
sample-1_5_155540	78.7	Epsilon	Epsilon	Epsilon_2
sample-1_6_155389	87.4	Epsilon	Epsilon	Epsilon_2
sample-1_7_152939	84.1	Epsilon	Epsilon	Epsilon_2
sample-1_9_104613	77.8	Suoliviridae	Loutivirinae	Blohavirus
