genome	genus	species
SRS145497_NODE_97_length_94933_cov_72.765	genus__6	species__28
MZ130479_1_96466	genus__6	species__28
3300008513_____Ga0111022_100109	genus__6	species__28
OJMP01000070	genus__6	species__28
sample-1_1_194036	genus__6	species__55
sample-1_30_80291	genus__6	species__55
MT774377_1_93787	genus__6	species__121
OMEW01000010	genus__7	species__44
QWBY01000007	genus__7	species__44
OJOH01000017	genus__7	species__44
OMBT01000004	genus__7	species__45
OMEJ01000024	genus__7	species__45
OLSP01000004	genus__7	species__45
OGOT01000012	genus__7	species__56
OJOE01000015	genus__7	species__56
sample-1_1093_6313	genus__8	species__46
OHFX01000006	genus__8	species__46
OLNL01000026	genus__8	species__46
OLOE01000004	genus__8	species__69
sample-1_1971_3823	genus__8	species__132
OLXR01000011	genus__9	species__71
QRFC01000022	genus__9	species__74
OHFV01000001	genus__9	species__76
SRS147652_NODE_155_length_104176_cov_11.0954	genus__10	species__13
OBKN01000015	genus__10	species__13
HvCF_C7_ms_2	genus__10	species__13
SRS011586_NODE_119_length_103914_cov_1098.85	genus__10	species__13
OHLF01000025	genus__10	species__13
3300008103_____Ga0114180_100162	genus__10	species__13
OLNZ01000083	genus__10	species__13
OLQG01000039	genus__10	species__13
MZ130497_1_104085	genus__10	species__13
OLNE01000081	genus__10	species__23
MT774402_1_103832	genus__10	species__23
ERR844070_ms_2	genus__10	species__23
HvCF_B1_ms_5	genus__10	species__23
OFMT01000069	genus__10	species__23
OCHF01000043	genus__10	species__23
3300006463_____Ga0100176_1000099	genus__10	species__23
MT774406_1_101532	genus__10	species__101
sample-1_2087_3578	genus__11	species__38
sample-1_2468_3000	genus__11	species__38
sample-1_9_104613	genus__11	species__38
sample-1_10_102032	genus__11	species__38
sample-1_2496_2968	genus__11	species__40
sample-1_18_96565	genus__11	species__40
ERR844016_ms_1	genus__11	species__40
MT774396_1_101153	genus__11	species__40
sample-1_2557_2904	genus__11	species__52
NG-14571_115xxx_NODE_1_length_101130_cov_1132.63	genus__11	species__52
MZ130495_1_101130	genus__11	species__52
sample-1_309_18290	genus__12	species__24
OLRA01000126	genus__12	species__24
SRS050299_NODE_72_length_100548_cov_36.2955	genus__12	species__24
C12_NODE_4_length_93683_cov_7.991701	genus__12	species__24
ERR844025_ms_1	genus__12	species__24
MT774380_1_99882	genus__12	species__24
MN037_S1_78	genus__12	species__24
MZ130477_1_100971	genus__12	species__53
OLPO01000062	genus__12	species__53
OLNW01000116	genus__12	species__53
ERR843949_ms_1	genus__12	species__63
MT774376_1_98340	genus__12	species__63
sample-1_5191_1012	genus__13	species__61
MT774388_1_102301	genus__13	species__61
MH675552_1_102679	genus__13	species__97
sample-1_4061_1441	genus__13	species__144
sample-1_3157_2206	genus__14	species__4
G3_WGS_contig_51_2_length_97737_read_count_6388982	genus__14	species__4
OBZD01000096	genus__14	species__4
OAUH01000043	genus__14	species__4
E11_NODE_1_length_96694_cov_1258.521291	genus__14	species__4
OLWC01000027	genus__14	species__4
3300008520_____Ga0111044_100220	genus__14	species__4
OLGN01000078	genus__14	species__4
OLRV01000041	genus__14	species__4
3300008103_____Ga0114180_100183	genus__14	species__4
ERR589531_NODE_143_length_100354_cov_37.9907	genus__14	species__4
ERR844035_ms_1	genus__14	species__4
ERR589746_NODE_110_length_100335_cov_36.0815	genus__14	species__4
3300008497_____Ga0111011_100059	genus__14	species__4
OLPS01000138	genus__14	species__4
OHAD01000101	genus__14	species__4
OGOQ01000098	genus__14	species__4
ERR844030_ms_1	genus__14	species__4
ERR589544_NODE_118_length_99073_cov_42.2977	genus__14	species__4
OGZA01000030	genus__14	species__4
EM245_T3_ms_3	genus__14	species__4
QWCY01000259	genus__14	species__4
OBJQ01000077	genus__14	species__4
OJMH01000169	genus__14	species__4
MZ130475_1_99984	genus__14	species__4
OJSE01000155	genus__14	species__4
ERR589534_NODE_206_length_99607_cov_6.90286	genus__14	species__4
E12_NODE_1_length_99984_cov_69.391838	genus__14	species__4
OGRK01000094	genus__14	species__4
3300014921_____Ga0169822_100099	genus__14	species__4
OGYC01000074	genus__14	species__4
OKRW01000057	genus__14	species__4
ERR589548_NODE_125_length_99181_cov_12.0749	genus__14	species__4
Long_crAss_ms_15	genus__14	species__4
SRS143876_NODE_156_length_99405_cov_8.65265	genus__14	species__4
OLQL01000074	genus__14	species__4
OGUN01000050	genus__14	species__4
3300014919_____Ga0169798_100120	genus__14	species__4
OICB01000025	genus__14	species__4
OGTB01000054	genus__14	species__4
OCPX01000081	genus__14	species__4
3300008737_____Ga0113999_100109	genus__14	species__4
MT774375_1_98826	genus__14	species__112
sample-1_3423_1921	genus__14	species__139
sample-1_15_98423	genus__15	species__32
NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006	genus__15	species__32
OLPO01000063	genus__15	species__32
MT774391_1_99212	genus__15	species__32
ERR844065_ms_1	genus__15	species__32
MZ130478_1_100314	genus__15	species__105
sample-1_347_16656	genus__15	species__130
MZ130491_1_98573	genus__16	species__114
sample-1_3635_1721	genus__16	species__141
sample-1_4226_1355	genus__16	species__145
NG-14571_65_NODE_5_length_90560_cov_40.8849	genus__17	species__3
ERR589742_NODE_219_length_92594_cov_6.88142	genus__17	species__3
SRS105153_NODE_241_length_90160_cov_456.992	genus__17	species__3
OKSB01000084	genus__17	species__3
NG-14253_9_lib223974_5684_NODE_4_length_59928_cov_398.525	genus__17	species__3
SRS143417_NODE_177_length_89824_cov_37.2496	genus__17	species__3
ERR589737_NODE_250_length_92638_cov_199.421	genus__17	species__3
NODE_14_length_91830_cov_15.741215	genus__17	species__3
OGPZ01000072	genus__17	species__3
OBJF01000128	genus__17	species__3
ERR589512_NODE_313_length_91996_cov_59.3944	genus__17	species__3
3300014944_____Ga0134440_100138	genus__17	species__3
MZ130490_1_92132	genus__17	species__3
3300013946_____Ga0117818_1000018	genus__17	species__3
OICK01000023	genus__17	species__3
EM200_T3_ms_2	genus__17	species__3
3300014744_____Ga0134393_100057	genus__17	species__3
OLFY01000217	genus__17	species__3
ERR589556_NODE_251_length_91714_cov_17.3214	genus__17	species__3
3300008299_____Ga0114868_1000151	genus__17	species__3
OHTD01000013	genus__17	species__3
OLGB01000200	genus__17	species__3
OHJX01000034	genus__17	species__3
3300014936_____Ga0169833_100099	genus__17	species__3
OGCO01000246	genus__17	species__3
OLFZ01000118	genus__17	species__3
3300014712_____Ga0134412_100037	genus__17	species__3
Sib1_ms_5	genus__17	species__3
ERR589848_NODE_206_length_90462_cov_52.7397	genus__17	species__3
OLGH01000138	genus__17	species__3
OLNN01000114	genus__17	species__3
OBAQ01000124	genus__17	species__3
OLRU01000124	genus__17	species__3
OJNS01000048	genus__17	species__3
OHKK01000062	genus__17	species__3
QRFC01000100	genus__17	species__3
OLPR01000090	genus__17	species__3
ERR589532_NODE_107_length_92376_cov_180.077	genus__17	species__3
3300006476_____Ga0100233_100198	genus__17	species__3
OIWV01000065	genus__17	species__3
ERR589835_NODE_192_length_92466_cov_11.6977	genus__17	species__3
ERR589853_NODE_110_length_92253_cov_12.0089	genus__17	species__3
F6_NODE_4_length_91062_cov_72.306460	genus__17	species__3
ERR589826_NODE_133_length_91808_cov_9.52867	genus__17	species__3
sample-1_4390_1275	genus__17	species__146
sample-1_4677_1147	genus__17	species__148
sample-1_3_171347	genus__18	species__6
sample-1_4981_1057	genus__18	species__6
OIXA01000019	genus__18	species__6
OIXH01000029	genus__18	species__6
OLND01000017	genus__18	species__6
OKSC01000019	genus__18	species__6
phage_16	genus__18	species__6
OINI01000001	genus__18	species__6
OLOX01000006	genus__18	species__6
OIOX01000001	genus__18	species__6
OINJ01000001	genus__18	species__6
OIPU01000001	genus__18	species__6
OIJI01000001	genus__18	species__6
OJPI01000006	genus__18	species__6
OLBP01000001	genus__18	species__6
OIKE01000002	genus__18	species__6
OLSE01000042	genus__18	species__6
OGOC01000003	genus__18	species__6
OLAR01000001	genus__18	species__6
OIMM01000002	genus__18	species__6
OHAY01000006	genus__18	species__6
OIML01000001	genus__18	species__6
phage_15	genus__18	species__6
OINS01000001	genus__18	species__6
OJMP01000008	genus__18	species__57
OBHU01000008	genus__18	species__57
OGYM01000002	genus__19	species__58
OLRF01000054	genus__19	species__58
OLVX01000015	genus__19	species__75
G10_NODE_3_length_100255_cov_4594.188553	genus__20	species__14
OKRV01000012	genus__20	species__14
OCLC01000020	genus__20	species__14
MZ130494_1_100255	genus__20	species__14
3300007312_____Ga0104941_100072	genus__20	species__14
OIWL01000154	genus__20	species__14
3300014788_____Ga0134381_1000049	genus__20	species__14
OLZJ01000019	genus__20	species__14
OEIM01000003	genus__20	species__14
MT774405_1_99848	genus__20	species__108
sample-1_273_20403	genus__21	species__7
OIXA01000142	genus__21	species__7
ERR589590_NODE_72_length_96711_cov_28.1345	genus__21	species__7
ERR589531_NODE_142_length_100626_cov_28.4295	genus__21	species__7
ERR589777_NODE_213_length_102559_cov_114.718	genus__21	species__7
OHJU01000015	genus__21	species__7
OCHV01000088	genus__21	species__7
ERR589530_NODE_125_length_100283_cov_10.4903	genus__21	species__7
OHAB01000087	genus__21	species__7
OGPX01000023	genus__21	species__7
OAUB01000058	genus__21	species__7
ERR589856_NODE_160_length_99420_cov_996.622	genus__21	species__7
QWCH01000269	genus__21	species__7
MZ130492_1_96892	genus__21	species__7
F10_NODE_1_length_96892_cov_1695.602518	genus__21	species__7
ERR589773_NODE_168_length_99796_cov_16.6781	genus__21	species__7
OIHW01000011	genus__21	species__7
30T1_lib200751_4	genus__21	species__7
OHCF01000051	genus__21	species__7
ERR589835_NODE_174_length_96977_cov_65.8124	genus__21	species__7
MT774401_1_97422	genus__21	species__7
OOCN01000077	genus__21	species__7
OIZB01000074	genus__21	species__10
Long_crAss_ms_14	genus__21	species__10
OLSB01000088	genus__21	species__10
3300014553_____Ga0134451_100057	genus__21	species__10
OLNQ01000088	genus__21	species__10
MZ130499_1_97706	genus__21	species__10
OBJP01000067	genus__21	species__10
SRS050752_NODE_138_length_97080_cov_254.851	genus__21	species__10
OLGL01000107	genus__21	species__10
3300013752_____Ga0117817_1000004	genus__21	species__10
ERR589813_NODE_172_length_99988_cov_9.80768	genus__21	species__10
ERR844077_ms_2	genus__22	species__33
OJPW01000082	genus__22	species__33
MZ130493_1_100650	genus__22	species__33
F4_NODE_1_length_100650_cov_839.811104	genus__22	species__33
OGOI01000071	genus__22	species__33
sample-1_12_101623	genus__22	species__100
OFMQ01000046	genus__23	species__12
MT774390_1_98164	genus__23	species__12
ERR589851_NODE_110_length_101537_cov_76.3839	genus__23	species__12
OIWT01000163	genus__23	species__12
OIXG01000120	genus__23	species__12
ERR589797_NODE_176_length_100385_cov_85.2729	genus__23	species__12
ERR844029_ms_3	genus__23	species__12
ERR589836_NODE_124_length_100491_cov_5.94573	genus__23	species__12
ERR589736_NODE_224_length_101034_cov_15.6328	genus__23	species__12
OGCO01000213	genus__23	species__12
Monaco_MBA4038_NODE_5_length_99783_cov_26.247343	genus__23	species__15
MZ130483_1_93564	genus__23	species__15
MN019_S19_74	genus__23	species__15
CS_crAss_ms_9	genus__23	species__15
OLVR01000187	genus__23	species__15
OGQX01000099	genus__23	species__15
OJPC01000037	genus__23	species__15
3300014547_____Ga0134415_100047	genus__23	species__15
OIWS01000145	genus__23	species__15
sample-1_16_98401	genus__24	species__5
sample-1_21_95604	genus__24	species__5
sample-1_22_93708	genus__24	species__5
sample-1_20_95736	genus__24	species__5
OLRO01000069	genus__24	species__5
OLQO01000079	genus__24	species__5
OGXF01000053	genus__24	species__5
OLYB01000074	genus__24	species__5
ERR589848_NODE_158_length_99263_cov_37.5295	genus__24	species__5
Zuo_N1_NODE_2_length_100997_cov_2297.472945	genus__24	species__5
3300008360_____Ga0114875_1000146	genus__24	species__5
OIRC01000027	genus__24	species__5
3300007714_____Ga0105661_1000061	genus__24	species__5
OGZD01000102	genus__24	species__5
ERR844047_ms_3	genus__24	species__5
OGYG01000098	genus__24	species__5
3300008716_____Ga0113874_100156	genus__24	species__5
ERR589818_NODE_123_length_100672_cov_68.5318	genus__24	species__5
OLZQ01000035	genus__24	species__5
OLSC01000138	genus__24	species__5
ERR589503_NODE_236_length_100385_cov_32.3335	genus__24	species__5
ERR589530_NODE_123_length_101106_cov_84.032	genus__24	species__5
Sib2_ms_1	genus__24	species__5
3300007991_____Ga0105643_100224	genus__24	species__5
OOAG01000060	genus__24	species__5
ERR589750_NODE_144_length_100756_cov_12.0751	genus__24	species__5
MZ130500_1_98182	genus__24	species__5
MN037_S1_79	genus__24	species__62
MT774407_1_98095	genus__24	species__62
OODC01000039	genus__25	species__1
OHAT01000070	genus__25	species__1
OAVV01000098	genus__25	species__1
3300008716_____Ga0113874_100160	genus__25	species__1
ERR844018_ms_1	genus__25	species__1
OCMA01000041	genus__25	species__1
ERR589813_NODE_178_length_98616_cov_51.5115	genus__25	species__1
3300007298_____Ga0104838_100088	genus__25	species__1
ERR589750_NODE_148_length_99248_cov_188.387	genus__25	species__1
ERR589826_NODE_104_length_99479_cov_523.136	genus__25	species__1
OGRG01000096	genus__25	species__1
OGPZ01000054	genus__25	species__1
5_lib200737_3	genus__25	species__1
SRS045739_NODE_78_length_98134_cov_152.188	genus__25	species__1
3300007705_____Ga0105636_100113	genus__25	species__1
OFSC01000046	genus__25	species__1
OHXQ01000012	genus__25	species__1
SRR4295172_ms_8	genus__25	species__1
ERR589811_NODE_183_length_95797_cov_1140.66	genus__25	species__1
OGQQ01000082	genus__25	species__1
OFME01000049	genus__25	species__1
3300008523_____Ga0115231_1000091	genus__25	species__1
OLRB01000064	genus__25	species__1
OKUZ01000024	genus__25	species__1
ERR589548_NODE_133_length_97812_cov_182.454	genus__25	species__1
OOAW01000092	genus__25	species__1
OODH01000049	genus__25	species__1
OLRW01000060	genus__25	species__1
HvCF_D10_ms_2	genus__25	species__1
F2T1.2.NODE_1_length_97120_cov_58.884747	genus__25	species__1
OLGO01000101	genus__25	species__1
OAWB01000083	genus__25	species__1
OLTF01000001	genus__25	species__1
OKRV01000014	genus__25	species__1
OBCT01000057	genus__25	species__1
3300007714_____Ga0105661_1000069	genus__25	species__1
HvCF_F2_ms_2	genus__25	species__1
3300006257_____Ga0099346_100106	genus__25	species__1
ERR589801_NODE_173_length_98624_cov_58.2029	genus__25	species__1
OJNH01000048	genus__25	species__1
Long_crAss_ms_2	genus__25	species__1
OLSX01000045	genus__25	species__1
ERR589737_NODE_227_length_97168_cov_1455.68	genus__25	species__1
OFRZ01000076	genus__25	species__1
ERR589741_NODE_169_length_97150_cov_107.747	genus__25	species__1
OGZA01000036	genus__25	species__1
F4T2.1.NODE_1_length_94988_cov_32.078160	genus__25	species__1
OLWB01000065	genus__25	species__1
OGSS01000127	genus__25	species__1
ERR843983_ms_1	genus__25	species__1
ERR589557_NODE_190_length_93533_cov_205.404	genus__25	species__1
OFMO01000072	genus__25	species__1
ERR589574_NODE_223_length_98544_cov_57.8223	genus__25	species__1
4_lib200738_4	genus__25	species__1
3300006312_____Ga0099626_100158	genus__25	species__1
OJML01000021	genus__25	species__1
HvCF_E5_ms_1	genus__25	species__1
OODS01000049	genus__25	species__1
17T1_lib200766_3	genus__25	species__1
OLGJ01000028	genus__25	species__1
OMCC01000013	genus__25	species__1
ERR589807_NODE_175_length_98624_cov_2094.64	genus__25	species__1
OBAG01000123	genus__25	species__1
OHAF01000067	genus__25	species__1
3300014788_____Ga0134381_1000061	genus__25	species__1
ERR589821_NODE_65_length_97126_cov_5571.81	genus__25	species__1
EM210_T0_ms_1	genus__25	species__1
F2M.1.NODE_1_length_97876_cov_8.385428	genus__25	species__1
OLYR01000006	genus__25	species__1
ERR843936_ms_1	genus__25	species__1
HvCF_A11_ms_1	genus__25	species__1
OCHG01000105	genus__25	species__1
HvCF_E8_ms_1	genus__25	species__1
NODE_27_length_98043_cov_23.463220	genus__25	species__1
ERR589774_NODE_217_length_97586_cov_21.2143	genus__25	species__1
ERR844045_ms_1	genus__25	species__1
ERR589443_NODE_109_length_97897_cov_28.0204	genus__25	species__1
CF1_ms_1	genus__25	species__1
HvCF_D1_ms_1	genus__25	species__1
ERR589827_NODE_122_length_98326_cov_41.0203	genus__25	species__1
OBXZ01000146	genus__25	species__1
ERR589786_NODE_135_length_99040_cov_1290.66	genus__25	species__1
OLWZ01000040	genus__25	species__1
SRS053398_NODE_95_length_96600_cov_69.939	genus__25	species__1
OODN01000068	genus__25	species__1
SRS014683_NODE_81_length_94199_cov_303.827	genus__25	species__1
ERR589440_NODE_121_length_98649_cov_14.7648	genus__25	species__1
MN099_S58_106	genus__25	species__1
ERR589512_NODE_279_length_97295_cov_607.21	genus__25	species__1
OIWV01000054	genus__25	species__1
OCRP01000110	genus__25	species__1
ERR589773_NODE_178_length_95143_cov_627.55	genus__25	species__1
MN038_S2_110	genus__25	species__1
EM195_T0_ms_1	genus__25	species__1
OLOS01000113	genus__25	species__1
3300014971_____Ga0134442_1000062	genus__25	species__1
OGPX01000026	genus__25	species__1
SRS019030_NODE_87_length_93563_cov_510.146	genus__25	species__1
3300013899_____Ga0117808_100015	genus__25	species__1
OHPM01000044	genus__25	species__1
OFMN01000076	genus__25	species__1
OFMP01000048	genus__25	species__1
HvCF_E10_ms_1	genus__25	species__1
3300008326_____Ga0115311_100028	genus__25	species__1
OLZQ01000040	genus__25	species__1
JQ995537_1_97065	genus__25	species__1
OBVI01000054	genus__25	species__1
OGPN01000023	genus__25	species__1
OFRY01000048	genus__25	species__1
MN045_S8_84	genus__25	species__1
F3T1.2.NODE_1_length_93869_cov_36.327307	genus__25	species__1
OFLY01000041	genus__25	species__1
ERR589509_NODE_117_length_99450_cov_1258.73	genus__25	species__1
HvCF_E6_ms_1	genus__25	species__1
ERR589836_NODE_132_length_97990_cov_15.6475	genus__25	species__1
OKUM01000038	genus__25	species__1
OLRG01000090	genus__25	species__1
OHQM01000028	genus__25	species__1
HvCF_D6_ms_5	genus__25	species__1
OKRW01000064	genus__25	species__1
OLOF01000050	genus__25	species__34
MZ130481_1_98001	genus__25	species__34
NG-15813_53_lib254058_NODE_2_length_98001_cov_18.457	genus__25	species__34
ERR844006_ms_1	genus__25	species__34
OJQF01000018	genus__25	species__34
sample-1_19_96211	genus__26	species__2
OLPO01000070	genus__26	species__2
ERR589804_NODE_183_length_96082_cov_14.9851	genus__26	species__2
OWIQ01000031	genus__26	species__2
ERR589800_NODE_173_length_93705_cov_28.9131	genus__26	species__2
ERR589503_NODE_260_length_95985_cov_44.2112	genus__26	species__2
ERR589742_NODE_210_length_93989_cov_9.62045	genus__26	species__2
OIWM01000114	genus__26	species__2
OGXT01000133	genus__26	species__2
3300007921_____Ga0111562_100099	genus__26	species__2
3300007298_____Ga0104838_100096	genus__26	species__2
OGOO01000132	genus__26	species__2
MZ130489_1_95815	genus__26	species__2
OJQL01000115	genus__26	species__2
OBAE01000105	genus__26	species__2
3300007105_____Ga0102630_100105	genus__26	species__2
OLNP01000086	genus__26	species__2
OGCM01000239	genus__26	species__2
OLSO01000074	genus__26	species__2
ERR589511_NODE_212_length_96153_cov_11.9872	genus__26	species__2
3300007296_____Ga0104830_100137	genus__26	species__2
OLNO01000079	genus__26	species__2
ERR589788_NODE_122_length_95274_cov_10.0565	genus__26	species__2
16T1_lib200772_4	genus__26	species__2
ERR589736_NODE_271_length_93891_cov_9.13972	genus__26	species__2
ERR589852_NODE_269_length_93435_cov_9.78746	genus__26	species__2
OKSB01000078	genus__26	species__2
OCHL01000111	genus__26	species__2
ERR589587_NODE_208_length_94701_cov_61.0326	genus__26	species__2
Long_crAss_ms_5	genus__26	species__2
3300007796_____Ga0105889_100147	genus__26	species__2
OLQL01000089	genus__26	species__2
OGTL01000065	genus__26	species__2
ERR589826_NODE_120_length_94996_cov_27.1679	genus__26	species__2
OHBE01000089	genus__26	species__2
OLFY01000196	genus__26	species__2
SRS048164_NODE_142_length_95873_cov_10.9415	genus__26	species__2
OLND01000117	genus__26	species__2
OLRJ01000083	genus__26	species__2
OLFT01000163	genus__26	species__2
OJPT01000035	genus__26	species__2
3300008479_____Ga0114883_1000181	genus__26	species__2
OLRW01000062	genus__26	species__2
OLVO01000096	genus__26	species__2
F7_NODE_3_length_95675_cov_221.603744	genus__26	species__2
ERR589532_NODE_103_length_94606_cov_18.1916	genus__26	species__2
Sib1_ms_4	genus__26	species__2
OLVT01000100	genus__26	species__2
SRS011084_NODE_220_length_95221_cov_30.7473	genus__26	species__2
3300008132_____Ga0111230_1000069	genus__26	species__2
OGRD01000043	genus__26	species__2
3300007853_____Ga0114093_100213	genus__26	species__26
MZ130487_1_94533	genus__26	species__26
HvCF_B5_ms_2	genus__26	species__26
Minot_Diet_SRR5088943_NODE_15_length_93463_cov_32.895405	genus__26	species__26
OMGY01000095	genus__26	species__26
ERR589589_NODE_144_length_94594_cov_10.8503	genus__26	species__26
OATI01000137	genus__26	species__26
ERR844040_ms_1	genus__27	species__18
OFMB01000041	genus__27	species__18
3300006746_____Ga0101796_100038	genus__27	species__18
3300007524_____Ga0105481_1000141	genus__27	species__18
MT774386_1_89781	genus__27	species__18
OOAT01000079	genus__27	species__18
3300007362_____Ga0104788_100129	genus__27	species__18
OBJP01000075	genus__27	species__18
MT774383_1_93559	genus__27	species__122
OGRL01000078	genus__28	species__20
A2_NODE_3_length_92367_cov_12.069243	genus__28	species__20
OGQI01000045	genus__28	species__20
OJNL01000044	genus__28	species__20
OKSC01000115	genus__28	species__20
ERR843949_ms_3	genus__28	species__20
OLPH01000160	genus__28	species__20
MZ130474_1_92367	genus__28	species__20
NG-14253_26_lib223959_5684_NODE_2_length_90827_cov_49.5933	genus__28	species__67
MT774381_1_91101	genus__28	species__67
sample-1_2_180874	genus__29	species__21
OWII01000011	genus__29	species__21
OLRX01000007	genus__29	species__21
OAWA01000024	genus__29	species__21
OGTB01000008	genus__29	species__21
OKVF01000023	genus__29	species__21
OJPU01000022	genus__29	species__21
OKWR01000042	genus__30	species__70
OLYV01000018	genus__31	species__47
OMFK01000016	genus__31	species__47
OMAN01000017	genus__31	species__47
OCHL01000028	genus__32	species__72
phage_2	genus__33	species__73
OLGM01000006	genus__34	species__59
OLHG01000007	genus__34	species__59
OBKV01000026	genus__35	species__77
OMAV01000002	genus__36	species__78
OLZQ01000009	genus__37	species__16
OLWB01000021	genus__37	species__16
OJPG01000010	genus__37	species__16
OMFR01000011	genus__37	species__16
OLFV01000031	genus__37	species__16
OLZR01000008	genus__37	species__16
OMBK01000012	genus__37	species__16
OGPL01000016	genus__37	species__16
QWBY01000010	genus__38	species__95
OKTS01000039	genus__39	species__22
HvCF_D5_ms_2	genus__39	species__22
MZ130485_1_104564	genus__39	species__22
Long_crAss_ms_29	genus__39	species__22
OMBQ01000121	genus__39	species__22
Fferm_ms_11	genus__39	species__22
Monaco_MBA4038_NODE_3_length_106353_cov_62.035654	genus__39	species__22
MT774387_1_102434	genus__40	species__98
OLPB01000025	genus__41	species__17
OLQG01000044	genus__41	species__17
QWCY01000236	genus__41	species__17
NG-16262_31_lib261986_NODE_2_length_99704_cov_87.7682	genus__41	species__17
OLOK01000029	genus__41	species__17
MZ130482_1_99704	genus__41	species__17
ERR589817_NODE_85_length_101984_cov_21.9381	genus__41	species__17
OFMV01000048	genus__41	species__17
ERR589843_NODE_134_length_102073_cov_9.78706	genus__42	species__8
A1_NODE_2_length_99974_cov_261.284550	genus__42	species__8
OGXX01000055	genus__42	species__8
OLGF01000091	genus__42	species__8
MT774382_1_99985	genus__42	species__8
Long_crAss_ms_1	genus__42	species__8
ERR589535_NODE_102_length_100207_cov_5.55539	genus__42	species__8
ERR589742_NODE_186_length_98834_cov_12.9141	genus__42	species__8
3300007210_____Ga0103359_100138	genus__42	species__8
OLOZ01000092	genus__42	species__8
OGXI01000029	genus__42	species__8
3300008101_____Ga0114024_100210	genus__42	species__8
ERR589503_NODE_243_length_99288_cov_256.502	genus__42	species__8
MT774378_1_101662	genus__43	species__99
sample-1_4954_1063	genus__44	species__51
sample-1_3643_1714	genus__44	species__51
sample-1_11_101626	genus__44	species__51
MT774385_1_101437	genus__45	species__102
MT774389_1_101082	genus__46	species__103
KC821624_1_100418	genus__47	species__104
3300014538_____Ga0134452_100100	genus__48	species__41
OLWW01000036	genus__48	species__41
OLNI01000077	genus__48	species__41
MT774404_1_98308	genus__48	species__41
KJ003983_1_99915	genus__49	species__107
AP017903_1_99517	genus__50	species__109
