"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Deltapolyomavirus;Human polyomavirus 10",3.80960117523034,-2.54962008268589,0.768481747731106,-3.31773668042667,0.000907499935000727,0.0132004755758666
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Rhesus adenovirus 58",1.39213877320208,2.51788783162449,0.576177240775653,4.36998835329715,1.24253163507392e-05,0.000453524046801981
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Rhesus adenovirus 65",2.54709989854833,3.23200666238148,0.685033151986584,4.71802956252368,2.38139895868266e-06,0.000115894749322556
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Simian mastadenovirus C",3.19186406549623,2.18944386286447,0.66243956842445,3.30512240999108,0.000949349270867118,0.0132004755758666
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Simian mastadenovirus D",3.63348873656579,5.96110473720683,0.692828726913995,8.60400919540222,7.69788101718202e-18,2.24778125701715e-15
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;unidentified simian adenovirus",1.98365503909207,4.01716168102351,0.619223701571433,6.48741588997478,8.73210577750528e-11,8.49924962343847e-09
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;unclassified Adenoviridae genus;Lophocebus aterrimus adenovirus",1.27716885175772,2.10137752400987,0.561635311606593,3.74153383981279,0.000182900543632239,0.00445057989505114
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;unclassified Adenoviridae genus;Pan troglodytes adenovirus",1.82467649220083,3.67226089124645,0.635080322695244,5.78235659335435,7.36613563503724e-09,4.30182321086175e-07
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus;unclassified Alphatorquevirus species",4.38165733614055,-3.38925320130569,0.792564884092497,-4.27631007798996,1.90016515813702e-05,0.000616498029084456
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus SHA",3.22204952062773,-2.4929826629088,0.728323837378795,-3.42290411897122,0.000619559270061608,0.0106418415798817
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 12",3.12594097471478,-2.90395769224074,0.717918190097965,-4.04497021010774,5.23297778728005e-05,0.00152802951388578
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 13",1.85216642704943,-2.33543915211565,0.711418992617349,-3.28278999626288,0.00102785204983148,0.0136423999341269
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 9",1.52440998997396,-2.1408963865666,0.643740019259469,-3.32571585192014,0.000881917846633604,0.0132004755758666
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Human anellovirus zj-ad 1",4.21910429626507,-2.50155895683617,0.796572918202335,-3.1404017129801,0.00168716310113547,0.0214196358926764
