	family_portal	family_TerL	family_MCP	subfamily_portal	subfamily_TerL	subfamily_MCP	genus_portal	genus_TerL	genus_MCP	coding	shared_prot_ref	prot_most_similar_ref_family	prot_most_similar_ref_genus	ani_most_similar_genome	ani_most_similar_ref_genome	genus_most_similar_ref_genome	species_most_similar_ref_genome	ani_qcov	ani_pid	ani_genus	ani_genus_cluster	ani_species	ani_species_cluster
sample-1_19_96211	Crevaviridae	Crevaviridae	Crevaviridae	Coarsevirinae	Coarsevirinae	Coarsevirinae	Junduvirus	Junduvirus	Junduvirus	11	79.1	Crevaviridae	Junduvirus	SRS011084_NODE_220_length_95221_cov_30.7473	SRS011084_NODE_220_length_95221_cov_30.7473	Junduvirus	Junduvirus communis	97.77	97.3	Junduvirus	genus__26	Junduvirus communis	species__2
sample-1_1_194036	Intestiviridae	Intestiviridae	Intestiviridae	Churivirinae	Churivirinae	Churivirinae	Jahgtovirus	Jahgtovirus	Jahgtovirus	11	73.2	Intestiviridae	Jahgtovirus	3300008513_____Ga0111022_100109	3300008513_____Ga0111022_100109	Jahgtovirus	Jahgtovirus gastrointestinalis	95.46	94.86	Jahgtovirus	genus__6	species__55	species__55
sample-1_2023_3705	not_found	not_found	Suoliviridae	not_found	not_found	Oafivirinae	not_found	not_found	unknown	TAG	75.0	Suoliviridae	Bohxovirus,Buhlduvirus,Burzaovirus,Cacepaovirus,Chuhaivirus	MZ130491_1_98573	MZ130491_1_98573	Bohxovirus	Bohxovirus oralis	84.97	91.78	Buhlduvirus	genus__5	species__133	species__133
sample-1_2087_3578	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	TAG	83.3	Suoliviridae	Birpovirus,Blohavirus,Buchavirus,Canhaevirus,Culoivirus	sample-1_9_104613	ERR844016_ms_1	Blohavirus	Blohavirus americanus	100.0	96.31	Blohavirus	genus__11	species__38	species__38
sample-1_20_95736	Suoliviridae	Suoliviridae	Suoliviridae	Uncouvirinae	Uncouvirinae	Uncouvirinae	Aurodevirus	Aurodevirus	Aurodevirus	TAG	91.4	Suoliviridae	Aurodevirus	3300008360_____Ga0114875_1000146	3300008360_____Ga0114875_1000146	Aurodevirus	Aurodevirus hiberniae	99.48	99.24	Aurodevirus	genus__24	Aurodevirus hiberniae	species__5
sample-1_21_95604	Suoliviridae	Suoliviridae	Suoliviridae	Uncouvirinae	Uncouvirinae	Uncouvirinae	Aurodevirus	Aurodevirus	Aurodevirus	TAG	93.5	Suoliviridae	Aurodevirus	3300007714_____Ga0105661_1000061	3300007714_____Ga0105661_1000061	Aurodevirus	Aurodevirus hiberniae	97.8	97.61	Aurodevirus	genus__24	Aurodevirus hiberniae	species__5
sample-1_22_93708	Suoliviridae	Suoliviridae	Suoliviridae	Uncouvirinae	Uncouvirinae	Uncouvirinae	Aurodevirus	Aurodevirus	Aurodevirus	TAG	95.0	Suoliviridae	Aurodevirus	3300008360_____Ga0114875_1000146	3300008360_____Ga0114875_1000146	Aurodevirus	Aurodevirus hiberniae	98.53	99.24	Aurodevirus	genus__24	Aurodevirus hiberniae	species__5
sample-1_2370_3154	not_found	Steigviridae	not_found	not_found	Asinivirinae	not_found	not_found	unknown	not_found	11	83.3	Steigviridae	Kahnovirus,Lahndsivirus,Mahlunavirus,Wulfhauvirus	OGQX01000099	OGQX01000099	Kahnovirus	Kahnovirus copri	11.98	74.04	genus__74	genus__74	species__134	species__134
sample-1_23_92914	Steigviridae	Steigviridae	Steigviridae	Asinivirinae	Asinivirinae	Asinivirinae	unknown	unknown	unknown	11	52.7	Steigviridae	Kahnovirus,Lahndsivirus										
sample-1_241_22966	Intestiviridae	Intestiviridae	Intestiviridae	Churivirinae	Churivirinae	Churivirinae	Jahgtovirus	Jahgtovirus	Jahgtovirus	11	96.3	Intestiviridae	Jahgtovirus	SRR4295175_ms_5	SRR4295175_ms_5	Jahgtovirus	Jahgtovirus secundus	99.57	95.29	Jahgtovirus	genus__6	Jahgtovirus secundus	species__25
sample-1_2468_3000	too_short	Suoliviridae	not_found	too_short	Loutivirinae	not_found	too_short	Blohavirus	not_found	TAG	50.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9	sample-1_9_104613	MT774396_1_101153	Blohavirus	Blohavirus americanus	99.97	93.88	Blohavirus	genus__11	species__38	species__38
sample-1_2475_2996	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	11													
sample-1_2496_2968	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	TAG	80.0	Suoliviridae	Birpovirus,Blohavirus,Buchavirus,Canhaevirus,Culoivirus	sample-1_10_102032	OKRV01000012	Birpovirus	Birpovirus hominis	99.97	88.95	Blohavirus	genus__11	Blohavirus americanus	species__40
sample-1_24_92306	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	unknown	unknown	unknown	11	75.2	Epsilon	Epsilon_1	PPYF01266999	PPYF01266999	Epsilon_1	Epsilon_1_6	49.25	79.72	genus__67	genus__67	species__126	species__126
sample-1_2557_2904	too_short	Suoliviridae	not_found	too_short	Loutivirinae	not_found	too_short	Blohavirus	not_found	TAG	50.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9	sample-1_18_96565	MT774396_1_101153	Blohavirus	Blohavirus americanus	97.35	91.97	Blohavirus	genus__11	Blohavirus faecalis	species__52
sample-1_273_20403	Suoliviridae	Suoliviridae	Suoliviridae	Bearivirinae	Bearivirinae	Bearivirinae	Afonbuvirus	Afonbuvirus	Afonbuvirus	TAG	95.5	Suoliviridae	Afonbuvirus	3300013752_____Ga0117817_1000004	3300013752_____Ga0117817_1000004	Afonbuvirus	Afonbuvirus coli	98.5	98.54	Afonbuvirus	genus__21	Afonbuvirus intestinihominis/faecalis	species__7
sample-1_2809_2618	not_found	not_found	not_found	not_found	not_found	not_found	not_found	not_found	not_found	11	100.0	Steigviridae	Kahnovirus,Kehishuvirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Wulfhauvirus	3300014547_____Ga0134415_100047	3300014547_____Ga0134415_100047	Kahnovirus	Kahnovirus copri	33.42	70.59	genus__76	genus__76	species__136	species__136
sample-1_2895_2535	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	TAG	80.0	Suoliviridae	Buchavirus	OJRV01000117	OJRV01000117	Buchavirus	Buchavirus hiberniae	89.47	99.43	Buchavirus	genus__4	species__137	species__137
sample-1_2_180874	Zeta	Zeta	Zeta	Zeta	Zeta	Zeta	Zeta_3	unknown	Zeta_3	11	93.8	Zeta	Zeta_3	OWII01000011	OWII01000011	Zeta_3	Zeta_3_1	95.08	97.69	Zeta_3	genus__29	Zeta_3_1	species__21
sample-1_309_18290	Suoliviridae	Suoliviridae	Suoliviridae	Boorivirinae	Boorivirinae	Boorivirinae	Culoivirus	Culoivirus	Culoivirus	11	88.0	Suoliviridae	Culoivirus	OLRA01000126	OLRA01000126	Culoivirus	Culoivirus americanus	94.58	97.74	Culoivirus	genus__12	Culoivirus americanus	species__24
sample-1_30_80291	Intestiviridae	Intestiviridae	Intestiviridae	Churivirinae	Churivirinae	Churivirinae	Jahgtovirus	Jahgtovirus	Jahgtovirus	11	71.4	Intestiviridae	Jahgtovirus	sample-1_1_194036	SRR4295175_ms_5	Jahgtovirus	Jahgtovirus secundus	90.89	88.24	Jahgtovirus	genus__6	species__55	species__55
sample-1_3125_2250	Epsilon	not_found	not_found	Epsilon	not_found	not_found	Epsilon_2	not_found	not_found	11	100.0	Epsilon	Epsilon_1,Epsilon_2	OIZE01000030	OIZE01000030	Epsilon_2	Epsilon_2_3	100.0	98.18	Epsilon_2	genus__2	Epsilon_2_6,Epsilon_2_2	species__30
sample-1_3157_2206	Suoliviridae	not_found	not_found	Boorivirinae	not_found	not_found	Cohcovirus	not_found	not_found	11	100.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus	OGXX01000055	OGXX01000055	Canhaevirus	Canhaevirus hiberniae	100.0	74.5	Cohcovirus	genus__14	Cohcovirus splanchnicus	species__4
sample-1_3406_1938	not_found	Suoliviridae	not_found	not_found	Oafivirinae	not_found	not_found	unknown	not_found	TAG	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9	MT774409_1_96717	MT774409_1_96717	Cacepaovirus	Cacepaovirus simiae	75.49	77.52	Buhlduvirus	genus__5	species__138	species__138
sample-1_3423_1921	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	11	100.0	Suoliviridae	Canhaevirus,Cohcovirus	ERR589544_NODE_118_length_99073_cov_42.2977	ERR589544_NODE_118_length_99073_cov_42.2977	Cohcovirus	Cohcovirus splanchnicus	100.0	99.9	Cohcovirus	genus__14	species__139	species__139
sample-1_347_16656	not_found	not_found	Steigviridae	not_found	not_found	Asinivirinae	not_found	not_found	unknown	11	90.0	Steigviridae	Kehishuvirus,Kolpuevirus	sample-1_15_98423	NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006	Kolpuevirus	Kolpuevirus hominis	65.37	80.35	Kolpuevirus	genus__15	species__130	species__130
sample-1_352_16508	Intestiviridae	Intestiviridae	Intestiviridae	Crudevirinae	Crudevirinae	Crudevirinae	Endlipuvirus	Endlipuvirus	Endlipuvirus	11	100.0	Intestiviridae	Endlipuvirus	Long_crAss_ms_9	Long_crAss_ms_9	Endlipuvirus	Endlipuvirus intestinihominis	100.0	99.26	Endlipuvirus	genus__68	Endlipuvirus intestinihominis	species__27
sample-1_3596_1751	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	11	16.7	Intestiviridae	Carjivirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus	OHQM01000028	OHQM01000028	Carjivirus	Carjivirus communis	7.42	99.23	genus__77	genus__77	species__140	species__140
sample-1_3635_1721	not_found	Suoliviridae	not_found	not_found	Oafivirinae	not_found	not_found	unknown	not_found	TAG	100.0	Suoliviridae	Blohavirus,Bohxovirus,Buhlduvirus,Burzaovirus,Cacepaovirus,Chuhaivirus,Cohcovirus	MZ130491_1_98573	MZ130491_1_98573	Bohxovirus	Bohxovirus oralis	100.0	94.13	Bohxovirus	genus__16	species__141	species__141
sample-1_3643_1714	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	11	100.0	Suoliviridae	Aurodevirus,Besingivirus,Buorbuivirus	3300014538_____Ga0134452_100100	3300014538_____Ga0134452_100100	Aurodevirus	Aurodevirus intestinalis	98.83	76.96	genus__44	genus__44	species__51	species__51
sample-1_3684_1680	too_short	too_short	not_found	too_short	too_short	not_found	too_short	too_short	not_found	11	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus										
sample-1_3983_1483	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	11	50.0	outgroup	outgroup										
sample-1_3_171347	Zeta	Zeta	Zeta	Zeta	Zeta	Zeta	Zeta_9	Zeta_9	Zeta_9	TGA	88.2	Zeta	Zeta_9	OIXH01000029	OIXH01000029	Zeta_9	Zeta_9_1	94.53	97.66	Zeta_9	genus__18	Zeta_9_1	species__6
sample-1_4061_1441	not_found	not_found	Steigviridae	not_found	not_found	Asinivirinae	not_found	not_found	unknown	11	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus	ERR589736_NODE_224_length_101034_cov_15.6328	ERR589736_NODE_224_length_101034_cov_15.6328	Kahnovirus	Kahnovirus oralis	89.31	77.9	Kehishuvirus	genus__13	species__144	species__144
sample-1_41_65330	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	11	4.5	Suoliviridae	Aurodevirus	OLGL01000107	OLGL01000107	Afonbuvirus	Afonbuvirus coli	2.89	80.63	genus__72	genus__72	species__129	species__129
sample-1_4226_1355	Suoliviridae	not_found	not_found	Oafivirinae	not_found	not_found	unknown	not_found	not_found	TAG	100.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus	MZ130491_1_98573	MZ130491_1_98573	Bohxovirus	Bohxovirus oralis	100.0	90.57	Bohxovirus	genus__16	species__145	species__145
sample-1_4390_1275	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	11	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9	Sib1_ms_5	Sib1_ms_5	Kingevirus	Kingevirus communis	100.0	91.45	Kingevirus	genus__17	species__146	species__146
sample-1_4409_1266	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	11	50.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus	MN917146_1_93030	MN917146_1_93030	Jahgtovirus	Jahgtovirus secundus	100.0	96.92	Jahgtovirus	genus__6	Jahgtovirus secundus	species__25
sample-1_4411_1265	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	TAG	100.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus	MZ130491_1_98573	MZ130491_1_98573	Bohxovirus	Bohxovirus oralis	99.37	82.66	Buhlduvirus	genus__5	species__147	species__147
sample-1_4677_1147	not_found	not_found	Crevaviridae	not_found	not_found	Doltivirinae	not_found	not_found	Kingevirus	11	100.0	Intestiviridae	Carjivirus,Dabirmavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Whopevirus,Wotdevirus	F6_NODE_4_length_91062_cov_72.306460	F6_NODE_4_length_91062_cov_72.306460	Kingevirus	Kingevirus communis	77.07	98.64	Kingevirus	genus__17	species__148	species__148
sample-1_4798_1110	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	not_found	11				MT774391_1_99212	MT774391_1_99212	Kolpuevirus	Kolpuevirus hominis	38.29	73.21	genus__80	genus__80	species__149	species__149
sample-1_4954_1063	too_short	too_short	not_found	too_short	too_short	not_found	too_short	too_short	not_found	TAG	50.0	Crevaviridae,Epsilon,Intestiviridae,Steigviridae,Suoliviridae	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Carjivirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Delmidovirus,Diorhovirus,Drivevirus,Endlipuvirus,Epsilon_1,Epsilon_2,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus	MT774398_1_100198	MT774398_1_100198	Buchavirus	Buchavirus hominis	92.94	74.97	genus__44	genus__44	species__51	species__51
sample-1_4981_1057	not_found	too_short	not_found	not_found	too_short	not_found	not_found	too_short	not_found	11	100.0	Crevaviridae,Intestiviridae,Steigviridae,Suoliviridae,Zeta	Afonbuvirus,Akihdevirus,Aurodevirus,Besingivirus,Birpovirus,Blohavirus,Bohxovirus,Buchavirus,Buhlduvirus,Buorbuivirus,Burzaovirus,Cacepaovirus,Canhaevirus,Chuhaivirus,Cohcovirus,Culoivirus,Dabirmavirus,Dechshavirus,Fohxhuevirus,Hacihdavirus,Jahgtovirus,Junduvirus,Kahnovirus,Kahucivirus,Kehishuvirus,Kingevirus,Kolpuevirus,Lahndsivirus,Lebriduvirus,Mahlunavirus,Mahstovirus,Pamirivirus,Paundivirus,Pipoluvirus,Whopevirus,Wotdevirus,Wulfhauvirus,Zeta_1,Zeta_10,Zeta_11,Zeta_12,Zeta_14,Zeta_15,Zeta_16,Zeta_2,Zeta_3,Zeta_4,Zeta_5,Zeta_6,Zeta_8,Zeta_9	OINS01000001	OINS01000001	Zeta_9	Zeta_9_1	100.0	99.34	Zeta_9	genus__18	Zeta_9_1	species__6
sample-1_4_157545	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon	Epsilon_2	Epsilon_2	Epsilon_2	11	80.6	Epsilon	Epsilon_2	OICG01000006	OICG01000006	Epsilon_2	Epsilon_2_2	91.05	95.87	Epsilon_2	genus__2	Epsilon_2_6,Epsilon_2_2	species__30
