"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",1.73665808257463,1.26375720306217,0.395121705541095,3.19839984829871,0.00138192524568474,0.0050493422438481
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",14.9911512434785,1.22563081671495,0.492682368180683,2.48766932991901,0.0128583225612316,0.0394045368811937
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;Cardiovirus B",5943.08094636473,2.20582170616957,0.645037183946246,3.41968147119002,0.000626944999454414,0.00248165728950705
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;unclassified Cardiovirus species",331.154076504196,1.89357153989405,0.562591565588226,3.36580150808731,0.000763216067199319,0.00290022105535741
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Enterovirus;Rhinovirus B",1.15225119013005,-0.893444165048559,0.321537148132791,-2.77866545199181,0.00545827083429523,0.0185191331877874
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",7.82674703947595,1.1310747301821,0.464934248272942,2.43276277104477,0.0149841145829681,0.0431360874358171
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus A",22.8698160907631,1.87775045735734,0.485029757941632,3.8714128908835,0.000108206326348341,0.000541031631741704
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus;Torque teno virus 8",508.00377174597,2.71811858555811,0.589579884602179,4.61026343765471,4.02159030654808e-06,4.24387837731708e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 10",52.7876490379596,1.59110005645879,0.584091977819813,2.72405736917967,0.00644853040155221,0.0211244961430159
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 11",23.9634459135133,1.4145857627008,0.522099661879612,2.70941712087717,0.00674015424035002,0.0213438217611084
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 12",2.73111800205541,1.62317527405458,0.432550547429839,3.75256784137549,0.000175032443453341,0.000831404106403369
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 3",50.4013465380829,2.30191054212006,0.531398853628336,4.33179433188999,1.47899065120109e-05,9.36694079094027e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 5",7.70104427080201,1.88039751899138,0.478488039383166,3.92987361066635,8.49905238612729e-05,0.000448561098156718
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 7",1.97631454072038,1.44941559109951,0.407836174882943,3.553916205485,0.000379540120627628,0.00171696721236308
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 8",3.18362643534328,1.57181318701272,0.447331167519437,3.51375737069434,0.000441816171881636,0.00190784256039798
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus ALH8",17.9103041164939,1.97547498039534,0.493220650771549,4.00525601940041,6.1950347055767e-05,0.000346193115899875
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 12",1.5734741660414,1.23542567252055,0.3892633032783,3.17375324649418,0.00150481561825814,0.00529472161979716
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 14",41.1566381742044,2.51465460066563,0.557711874902467,4.5088776370512,6.51714815261851e-06,5.62844613180689e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 3",47.0353637912208,2.44149686574047,0.532105689269874,4.588368279036,4.46724039717587e-06,4.24387837731708e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 4",34.4001775024521,2.26337622823447,0.520877184192657,4.34531651015322,1.39074984622745e-05,9.36694079094027e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 8",5.09250294967199,1.90503927356869,0.453330010826615,4.20232331430029,2.64189436776126e-05,0.000156862478085825
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 9",1.34038746350438,0.900354495682931,0.380636616104682,2.36539118305769,0.0180110353632783,0.0488870959860411
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;unclassified Gammatorquevirus species",46.5383421100967,2.62647272038553,0.540436269815972,4.85991201382521,1.17437934372275e-06,1.39457547067076e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Small anellovirus",10.5797525482479,2.15966025978401,0.497135417013944,4.34420921517935,1.39778256197699e-05,9.36694079094027e-05
