"effect","component","term","estimate","std.error","statistic","p.value","gene"
"fixed","cond","(Intercept)",-323.578964071692,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC",-125.280506408655,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-6",-275.911098146503,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-12",-157.59005189692,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-18",20.9073926607557,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-24",2.2871772508881e-07,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-30",18.244672042746,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-36",4.66509034357343e-06,NA,NA,NA,"edge_1732"
"fixed","cond","onset_timeline_combinedt0-over42",-0.643792438435807,NA,NA,NA,"edge_1732"
"fixed","cond","SexMale",-282.674818199303,NA,NA,NA,"edge_1732"
"fixed","cond","Age.at.Gluten.Introduction..months.",40.4275105418866,NA,NA,NA,"edge_1732"
"fixed","cond","HLA.CategoryHigh Risk",-234.355945247951,NA,NA,NA,"edge_1732"
"fixed","cond","HLA.CategoryLow/No Risk",-660.922502373228,NA,NA,NA,"edge_1732"
"fixed","cond","feeding_first_yearFormula",-114.993048600642,NA,NA,NA,"edge_1732"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-369.591365710092,NA,NA,NA,"edge_1732"
"fixed","cond","Delivery.ModeC-Section",-30.9501186617803,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",18.7997215354264,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",61.7070116274002,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-41.5043419176117,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-28.7795934391747,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-14.6825869682753,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-16.3232440875813,NA,NA,NA,"edge_1732"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-40.7621179037273,NA,NA,NA,"edge_1732"
"fixed","cond","(Intercept)",-1393.06253911222,NA,NA,NA,"edge_1847"
"fixed","cond","Dx.StatusCELIAC",942.911384142799,NA,NA,NA,"edge_1847"
"fixed","cond","onset_timeline_combinedt0-6",-359.090066073208,NA,NA,NA,"edge_1847"
"fixed","cond","onset_timeline_combinedt0-12",-262.32847832609,NA,NA,NA,"edge_1847"
"fixed","cond","onset_timeline_combinedt0-18",-299.376922102907,NA,NA,NA,"edge_1847"
"fixed","cond","onset_timeline_combinedt0-24",-11.6415543524036,NA,NA,NA,"edge_1847"
"fixed","cond","onset_timeline_combinedt0-30",-79.9055769282026,NA,NA,NA,"edge_1847"
"fixed","cond","onset_timeline_combinedt0-36",-70.5284123996248,NA,NA,NA,"edge_1847"
"fixed","cond","onset_timeline_combinedt0-over42",-52.4075255938348,NA,NA,NA,"edge_1847"
"fixed","cond","SexMale",-598.360383465807,NA,NA,NA,"edge_1847"
"fixed","cond","Age.at.Gluten.Introduction..months.",51.8101863090385,NA,NA,NA,"edge_1847"
"fixed","cond","HLA.CategoryHigh Risk",-668.154556190878,NA,NA,NA,"edge_1847"
"fixed","cond","HLA.CategoryLow/No Risk",-594.415163248267,NA,NA,NA,"edge_1847"
"fixed","cond","feeding_first_yearFormula",-913.836538773424,NA,NA,NA,"edge_1847"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-1281.93750084534,NA,NA,NA,"edge_1847"
"fixed","cond","Delivery.ModeC-Section",26.3427605247912,NA,NA,NA,"edge_1847"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-142.70478615612,NA,NA,NA,"edge_1847"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",236.997688838755,NA,NA,NA,"edge_1847"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-89.5408609869503,NA,NA,NA,"edge_1847"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",109.259013695105,NA,NA,NA,"edge_1847"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",185.926186725349,NA,NA,NA,"edge_1847"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",184.898032416576,NA,NA,NA,"edge_1847"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",131.642403533249,NA,NA,NA,"edge_1847"
"fixed","cond","(Intercept)",-26.2149725863113,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC",20.0579463732983,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-6",-11.4272714474983,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-12",-17.4684809942755,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-18",-19.2173310791422,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-24",-21.0228024707924,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-30",20.9108350163499,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-36",20.2887353444262,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-over42",19.4424045042268,NA,NA,NA,"edge_187"
"fixed","cond","SexMale",-1.83643918594835,NA,NA,NA,"edge_187"
"fixed","cond","Age.at.Gluten.Introduction..months.",0.103764085164363,NA,NA,NA,"edge_187"
"fixed","cond","HLA.CategoryHigh Risk",0.934504713911977,NA,NA,NA,"edge_187"
"fixed","cond","HLA.CategoryLow/No Risk",-3.49054691869724,NA,NA,NA,"edge_187"
"fixed","cond","feeding_first_yearFormula",2.67044485091144,NA,NA,NA,"edge_187"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",1.5644904006978,NA,NA,NA,"edge_187"
"fixed","cond","Delivery.ModeC-Section",3.65661180767151,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-5.8653861672822,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",17.6795528712793,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",23.4325744798463,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-14.7952832832449,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-55.789997229252,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-40.403151573416,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-17.0516605145736,NA,NA,NA,"edge_187"
"fixed","cond","(Intercept)",-71.0984212322683,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC",-10.1532149993845,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-6",-8.83443135700862,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-12",26.8992658820941,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-18",-72.3500362141399,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-24",-2.88078164344465,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-30",73.2079649589658,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-36",72.7165446035675,NA,NA,NA,"edge_209"
"fixed","cond","onset_timeline_combinedt0-over42",72.0063818753626,NA,NA,NA,"edge_209"
"fixed","cond","SexMale",-2.21373001891487,NA,NA,NA,"edge_209"
"fixed","cond","Age.at.Gluten.Introduction..months.",-0.65778979150612,NA,NA,NA,"edge_209"
"fixed","cond","HLA.CategoryHigh Risk",0.863584806256156,NA,NA,NA,"edge_209"
"fixed","cond","HLA.CategoryLow/No Risk",-201.755327907061,NA,NA,NA,"edge_209"
"fixed","cond","feeding_first_yearFormula",-180.729554879855,NA,NA,NA,"edge_209"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",1.93434019253811,NA,NA,NA,"edge_209"
"fixed","cond","Delivery.ModeC-Section",207.227436302285,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-8.46862753433327,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",38.6632917819615,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",157.261405742858,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",11.538891166156,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-73.3560645053532,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-61.5892574095622,NA,NA,NA,"edge_209"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",11.4194565167124,NA,NA,NA,"edge_209"
"fixed","cond","(Intercept)",-289.399527721167,NA,NA,NA,"edge_2199"
"fixed","cond","Dx.StatusCELIAC",-92.1957962176398,NA,NA,NA,"edge_2199"
"fixed","cond","onset_timeline_combinedt0-6",-53.1026030231089,NA,NA,NA,"edge_2199"
"fixed","cond","onset_timeline_combinedt0-12",-86.4548510988636,NA,NA,NA,"edge_2199"
"fixed","cond","onset_timeline_combinedt0-18",-24.2620299309031,NA,NA,NA,"edge_2199"
"fixed","cond","onset_timeline_combinedt0-24",50.8365379167649,NA,NA,NA,"edge_2199"
"fixed","cond","onset_timeline_combinedt0-30",1.37724656149402,NA,NA,NA,"edge_2199"
"fixed","cond","onset_timeline_combinedt0-36",-122.87325263495,NA,NA,NA,"edge_2199"
"fixed","cond","onset_timeline_combinedt0-over42",-54.8691354420774,NA,NA,NA,"edge_2199"
"fixed","cond","SexMale",-179.175827805143,NA,NA,NA,"edge_2199"
"fixed","cond","Age.at.Gluten.Introduction..months.",0.773377908507478,NA,NA,NA,"edge_2199"
"fixed","cond","HLA.CategoryHigh Risk",92.1957770721484,NA,NA,NA,"edge_2199"
"fixed","cond","HLA.CategoryLow/No Risk",-252.226556362315,NA,NA,NA,"edge_2199"
"fixed","cond","feeding_first_yearFormula",-16.1506794812984,NA,NA,NA,"edge_2199"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",282.439140030571,NA,NA,NA,"edge_2199"
"fixed","cond","Delivery.ModeC-Section",-115.540003056873,NA,NA,NA,"edge_2199"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-28.0596418182734,NA,NA,NA,"edge_2199"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",21.4849290218149,NA,NA,NA,"edge_2199"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-18.1475899298875,NA,NA,NA,"edge_2199"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-21.1438896898333,NA,NA,NA,"edge_2199"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-219.788243852616,NA,NA,NA,"edge_2199"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",32.7804731770075,NA,NA,NA,"edge_2199"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",33.5659766075374,NA,NA,NA,"edge_2199"
"fixed","cond","(Intercept)",1.51112013006954,NA,NA,NA,"edge_2654"
"fixed","cond","Dx.StatusCELIAC",-29.0795299473446,NA,NA,NA,"edge_2654"
"fixed","cond","onset_timeline_combinedt0-6",-49.9165401064459,NA,NA,NA,"edge_2654"
"fixed","cond","onset_timeline_combinedt0-12",-20.8957790460529,NA,NA,NA,"edge_2654"
"fixed","cond","onset_timeline_combinedt0-18",-34.7629391740706,NA,NA,NA,"edge_2654"
"fixed","cond","onset_timeline_combinedt0-24",-25.4518610956269,NA,NA,NA,"edge_2654"
"fixed","cond","onset_timeline_combinedt0-30",0.740239302082024,NA,NA,NA,"edge_2654"
"fixed","cond","onset_timeline_combinedt0-36",0.501253273791851,NA,NA,NA,"edge_2654"
"fixed","cond","onset_timeline_combinedt0-over42",-0.475878357131328,NA,NA,NA,"edge_2654"
"fixed","cond","SexMale",2.48545524225503,NA,NA,NA,"edge_2654"
"fixed","cond","Age.at.Gluten.Introduction..months.",-0.630289840834967,NA,NA,NA,"edge_2654"
"fixed","cond","HLA.CategoryHigh Risk",1.39893785553687,NA,NA,NA,"edge_2654"
"fixed","cond","HLA.CategoryLow/No Risk",-49.0318506816969,NA,NA,NA,"edge_2654"
"fixed","cond","feeding_first_yearFormula",0.335387392159335,NA,NA,NA,"edge_2654"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",1.24166655659858,NA,NA,NA,"edge_2654"
"fixed","cond","Delivery.ModeC-Section",51.795996220185,NA,NA,NA,"edge_2654"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.75370293652594,NA,NA,NA,"edge_2654"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",5.0898397950418,NA,NA,NA,"edge_2654"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",0.388446254587008,NA,NA,NA,"edge_2654"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",2.83326125152976,NA,NA,NA,"edge_2654"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-12.8974062972592,NA,NA,NA,"edge_2654"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-11.8616650678269,NA,NA,NA,"edge_2654"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",26.5394153340148,NA,NA,NA,"edge_2654"
"fixed","cond","(Intercept)",-2.99983194543588,NA,NA,NA,"edge_2658"
"fixed","cond","Dx.StatusCELIAC",-21.0468785935651,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-6",-21.8373684653256,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-12",-26.5274288608214,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-18",-20.1616601532399,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-24",0.728654147732073,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-30",1.17165766889611,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-36",0.320455364222394,NA,NA,NA,"edge_2658"
"fixed","cond","onset_timeline_combinedt0-over42",-0.642476541025766,NA,NA,NA,"edge_2658"
"fixed","cond","SexMale",-0.532652851576908,NA,NA,NA,"edge_2658"
"fixed","cond","Age.at.Gluten.Introduction..months.",-0.00374517249812524,NA,NA,NA,"edge_2658"
"fixed","cond","HLA.CategoryHigh Risk",1.43731359486334,NA,NA,NA,"edge_2658"
"fixed","cond","HLA.CategoryLow/No Risk",1.90900126483554,NA,NA,NA,"edge_2658"
"fixed","cond","feeding_first_yearFormula",-0.502591837177115,NA,NA,NA,"edge_2658"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-0.0339076330792059,NA,NA,NA,"edge_2658"
"fixed","cond","Delivery.ModeC-Section",-1.71288121260045,NA,NA,NA,"edge_2658"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-0.83017193744879,NA,NA,NA,"edge_2658"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",47.162669167989,NA,NA,NA,"edge_2658"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-1.02014454670254,NA,NA,NA,"edge_2658"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-18.7964540608462,NA,NA,NA,"edge_2658"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",20.0555145882463,NA,NA,NA,"edge_2658"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-16.4279361328074,NA,NA,NA,"edge_2658"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",21.5004991387908,NA,NA,NA,"edge_2658"
"fixed","cond","(Intercept)",-226.149817186515,NA,NA,NA,"edge_329"
"fixed","cond","Dx.StatusCELIAC",56.2107129857047,NA,NA,NA,"edge_329"
"fixed","cond","onset_timeline_combinedt0-6",-76.8812775145752,NA,NA,NA,"edge_329"
"fixed","cond","onset_timeline_combinedt0-12",-78.6516163762701,NA,NA,NA,"edge_329"
"fixed","cond","onset_timeline_combinedt0-18",-39.5006715519405,NA,NA,NA,"edge_329"
"fixed","cond","onset_timeline_combinedt0-24",-87.2440057095063,NA,NA,NA,"edge_329"
"fixed","cond","onset_timeline_combinedt0-30",98.4863852392465,NA,NA,NA,"edge_329"
"fixed","cond","onset_timeline_combinedt0-36",99.6268105953982,NA,NA,NA,"edge_329"
"fixed","cond","onset_timeline_combinedt0-over42",64.8954950808894,NA,NA,NA,"edge_329"
"fixed","cond","SexMale",0.440338938423697,NA,NA,NA,"edge_329"
"fixed","cond","Age.at.Gluten.Introduction..months.",0.220174534058046,NA,NA,NA,"edge_329"
"fixed","cond","HLA.CategoryHigh Risk",-80.8931658951058,NA,NA,NA,"edge_329"
"fixed","cond","HLA.CategoryLow/No Risk",40.4854289890954,NA,NA,NA,"edge_329"
"fixed","cond","feeding_first_yearFormula",206.445161125806,NA,NA,NA,"edge_329"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",124.49975638955,NA,NA,NA,"edge_329"
"fixed","cond","Delivery.ModeC-Section",-88.283477760548,NA,NA,NA,"edge_329"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",120.999583015685,NA,NA,NA,"edge_329"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",-4.97206414055591,NA,NA,NA,"edge_329"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",83.1786280574963,NA,NA,NA,"edge_329"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-13.9085067999257,NA,NA,NA,"edge_329"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-142.370799248532,NA,NA,NA,"edge_329"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-199.890600745297,NA,NA,NA,"edge_329"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-173.516090843184,NA,NA,NA,"edge_329"
"fixed","cond","(Intercept)",0.113134559036998,NA,NA,NA,"edge_4"
"fixed","cond","Dx.StatusCELIAC",0.138078986528678,NA,NA,NA,"edge_4"
"fixed","cond","onset_timeline_combinedt0-6",-22.4356993703111,NA,NA,NA,"edge_4"
"fixed","cond","onset_timeline_combinedt0-12",-19.1704307865351,NA,NA,NA,"edge_4"
"fixed","cond","onset_timeline_combinedt0-18",-24.6096382975794,NA,NA,NA,"edge_4"
"fixed","cond","onset_timeline_combinedt0-24",0.144780536945122,NA,NA,NA,"edge_4"
"fixed","cond","onset_timeline_combinedt0-30",0.592836588178586,NA,NA,NA,"edge_4"
"fixed","cond","onset_timeline_combinedt0-36",0.987386766163004,NA,NA,NA,"edge_4"
"fixed","cond","onset_timeline_combinedt0-over42",-0.979114882543787,NA,NA,NA,"edge_4"
"fixed","cond","SexMale",-24.4468745709345,NA,NA,NA,"edge_4"
"fixed","cond","Age.at.Gluten.Introduction..months.",-0.360175569146002,NA,NA,NA,"edge_4"
"fixed","cond","HLA.CategoryHigh Risk",-0.673047990089827,NA,NA,NA,"edge_4"
"fixed","cond","HLA.CategoryLow/No Risk",-27.7872301849361,NA,NA,NA,"edge_4"
"fixed","cond","feeding_first_yearFormula",-0.8904104713887,NA,NA,NA,"edge_4"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-0.521689997520784,NA,NA,NA,"edge_4"
"fixed","cond","Delivery.ModeC-Section",30.4911586005306,NA,NA,NA,"edge_4"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-10.4989362684026,NA,NA,NA,"edge_4"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",-2.8442049289286,NA,NA,NA,"edge_4"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",26.4057265477159,NA,NA,NA,"edge_4"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-29.4008587583651,NA,NA,NA,"edge_4"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-32.3354142098182,NA,NA,NA,"edge_4"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-0.59568135675739,NA,NA,NA,"edge_4"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",0.636463162647847,NA,NA,NA,"edge_4"
"fixed","cond","(Intercept)",-15.0691349426061,NA,NA,NA,"edge_48806"
"fixed","cond","Dx.StatusCELIAC",-6.11083304780848,NA,NA,NA,"edge_48806"
"fixed","cond","onset_timeline_combinedt0-6",-8.33655829853909,NA,NA,NA,"edge_48806"
"fixed","cond","onset_timeline_combinedt0-12",-49.7621514997564,NA,NA,NA,"edge_48806"
"fixed","cond","onset_timeline_combinedt0-18",-26.054806151976,NA,NA,NA,"edge_48806"
"fixed","cond","onset_timeline_combinedt0-24",0.642492530863553,NA,NA,NA,"edge_48806"
"fixed","cond","onset_timeline_combinedt0-30",-0.743648662325761,NA,NA,NA,"edge_48806"
"fixed","cond","onset_timeline_combinedt0-36",-45.7672792974401,NA,NA,NA,"edge_48806"
"fixed","cond","onset_timeline_combinedt0-over42",-43.926073437468,NA,NA,NA,"edge_48806"
"fixed","cond","SexMale",-43.4266195617635,NA,NA,NA,"edge_48806"
"fixed","cond","Age.at.Gluten.Introduction..months.",0.37716660287543,NA,NA,NA,"edge_48806"
"fixed","cond","HLA.CategoryHigh Risk",3.64296318665724,NA,NA,NA,"edge_48806"
"fixed","cond","HLA.CategoryLow/No Risk",-64.8618890308229,NA,NA,NA,"edge_48806"
"fixed","cond","feeding_first_yearFormula",-18.097990526205,NA,NA,NA,"edge_48806"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",7.93030740304162,NA,NA,NA,"edge_48806"
"fixed","cond","Delivery.ModeC-Section",-10.4319801401612,NA,NA,NA,"edge_48806"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-5.16847257865885,NA,NA,NA,"edge_48806"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",49.930309689515,NA,NA,NA,"edge_48806"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-1.79690000851919,NA,NA,NA,"edge_48806"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",3.53159842194535,NA,NA,NA,"edge_48806"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",4.48587351167863,NA,NA,NA,"edge_48806"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-6.64486543784767,NA,NA,NA,"edge_48806"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-8.67472460765049,NA,NA,NA,"edge_48806"
"fixed","cond","(Intercept)",-26.9709360618508,NA,NA,NA,"edge_61"
"fixed","cond","Dx.StatusCELIAC",24.869379986188,NA,NA,NA,"edge_61"
"fixed","cond","onset_timeline_combinedt0-6",-32.8502287573089,NA,NA,NA,"edge_61"
"fixed","cond","onset_timeline_combinedt0-12",-46.4730957358915,NA,NA,NA,"edge_61"
"fixed","cond","onset_timeline_combinedt0-18",27.1026796545864,NA,NA,NA,"edge_61"
"fixed","cond","onset_timeline_combinedt0-24",26.4108835022025,NA,NA,NA,"edge_61"
"fixed","cond","onset_timeline_combinedt0-30",20.244140067348,NA,NA,NA,"edge_61"
"fixed","cond","onset_timeline_combinedt0-36",26.3143061020541,NA,NA,NA,"edge_61"
"fixed","cond","onset_timeline_combinedt0-over42",-44.5104047743623,NA,NA,NA,"edge_61"
"fixed","cond","SexMale",3.68768494828819,NA,NA,NA,"edge_61"
"fixed","cond","Age.at.Gluten.Introduction..months.",-0.954300557946963,NA,NA,NA,"edge_61"
"fixed","cond","HLA.CategoryHigh Risk",-0.179268767679161,NA,NA,NA,"edge_61"
"fixed","cond","HLA.CategoryLow/No Risk",-38.7162359548438,NA,NA,NA,"edge_61"
"fixed","cond","feeding_first_yearFormula",-42.2930629242876,NA,NA,NA,"edge_61"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",1.80355044727062,NA,NA,NA,"edge_61"
"fixed","cond","Delivery.ModeC-Section",0.586521220538855,NA,NA,NA,"edge_61"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-23.3922071543226,NA,NA,NA,"edge_61"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",-4.1091718260176,NA,NA,NA,"edge_61"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-72.9306955288424,NA,NA,NA,"edge_61"
